Uniprot
P04040
P22352
Q6EMK4
P05109
P07996
P04004
P12259
P04003
Q9NY15
O15335
Q9HBW9
P13671
P24821
Q8NAF0
B7Z8R6
Q9UBJ2
P13645
P01042
O75882
P01031
P48740
P60174
P01024
P01023
Q9UBG0
P01019
P02452
P01008
Q9HC10
P46531
P09172
P27487
P26038
P02792
P02790
P20742
Q86YZ3
P02776
P02775
P02774
Q06033
P02766
P02760
P29622
P02750
P10643
P09486
Q9Y5Y7
Q9UNW1
P33151
P02749
P02748
P02747
P02745
P02743
B7ZKJ8
B5MCP1
P11717
B0I1T2
O00391
P18428
P15169
Q9NTU7
P15151
P05089
Q9Y646
P37802
P08697
P05062
Q13103
P35968
C9JEX1
Q16706
Q9H8L6
C9JV77
Q14520
P68871
P05362
P04275
P35908
P04264
P98160
P08603
Q96CX2
P17936
P07858
P11021
P22897
P22891
P04217
P12109
Q04721
Q01459
P14625
Q9NZP8
P06727
P14618
Q9Y5C1
Q7Z7M0
P06702
P18065
Q6UXB8
Q9NPY3
Q12913
Q96IY4
P10586
P02675
Q96PD5
P02671
Q9UGM5
D6RF35
Q13093
P00488
P02652
P43121
P08294
Q9BXJ5
P02649
P02647
Q8NFD2
P35579
P00450
O00299
Q15223
P24043
P40189
Q14126
P35542
P01871
Q6YHK3
P36980
P01860
P35527
Q9UJJ9
P01859
P08581
P36955
P08571
P01834
Q16610
P00748
P00747
P00742
P00740
P35858
P31146
P00736
Q9BTY2
P00734
P30043
P30041
P04196
P27930
P98088
Q9NPG4
P04180
Q15848
Q07954
Q86UD1
Q8NBP7
P08519
P27918
Q96S96
O00533
Q9H4A9
Q15828
P55056
P13497
Q8WWZ8
Q99650
P13489
Q02487
E7EQT9
Q6UWI4
P17813
O43505
O43866
Q3SYC2
G3V5I3
P14543
P22792
P54289
P04114
Q99969
P05546
P05543
P13796
P46013
Q12860
P80108
Q9NZ08
P67936
P33908
D6RAR4
P11597
D6RE86
Q9HCU0
P34096
O75636
Q12805
Q08380
Q16270
P00390
O14646
Q9P232
P08185
Q86U17
P20851
P02538
P12955
P19320
O00187
Q9HCL0
Q15113
P35443
Q9Y6Z7
P18206
O43157
O95497
P43652
P54802
Q9BQ51
O95479
P07360
P23142
P51884
Q16853
P25311
Q03167
P07357
P14151
O95445
Q96KN2
Q9Y6R7
P05164
P05160
Q9NY97
Q16827
Q13201
P23470
P05154
Q86WI1
P04066
Q76LX8
Q92820
B1AHL2
