"ID"	"t"	"A0"
0	"0"	0.575081
0	"1"	0.838475
0	"2"	0.4175975
0	"4"	0.425369
0	"5"	0.251697
0	"8"	0.4560965
0	"9"	0.485918
0	"10"	0.45678
0	"12"	0.4534015
0	"14"	0.466492
1	"0"	0.445312
1	"1"	0.45729
1	"2"	0.498087
1	"4"	0.476159
1	"5"	0.20594
1	"8"	0.561401
1	"9"	0.47319
1	"10"	0.39969
1	"12"	0.373961
1	"14"	0.436244
2	"0"	0.50899
2	"1"	0.541316
2	"2"	0.540335
2	"4"	0.419284
2	"5"	0.466668
2	"8"	0.386138
2	"9"	0.465251
2	"10"	0.472575
2	"12"	0.463244
2	"14"	0.446096
3	"0"	0.756061
3	"1"	0.595888
3	"2"	0.592373
3	"4"	0.5035285
3	"5"	0.534982
3	"8"	0.49124
3	"9"	0.48965
3	"10"	0.4646635
3	"12"	0.566053
3	"14"	0.419007
4	"0"	0.516346
4	"1"	0.70169
4	"2"	0.546661
4	"4"	0.602845428571429
4	"5"	0.633724
4	"8"	0.485687142857143
4	"9"	0.416248
4	"10"	0.490585
4	"12"	0.503237
4	"14"	0.416508
8	"0"	0.4727392
8	"1"	0.466787
8	"2"	0.5637516
8	"4"	0.4236625
8	"5"	0.427807333333333
8	"8"	0.3817165
8	"9"	0.385723
8	"10"	0.358306
8	"12"	0.333971
8	"14"	0.41180325
10	"0"	0.492878333333333
10	"1"	0.5425505
10	"2"	0.56077
10	"4"	0.523675333333333
10	"5"	0.443082666666667
10	"8"	0.422785666666667
10	"9"	0.404481
10	"10"	0.4129725
10	"12"	0.3843895
10	"14"	0.4011245
11	"0"	0.55976
11	"1"	0.823564
11	"2"	0.545908
11	"4"	0.558418
11	"5"	0.549668
11	"8"	0.6614295
11	"9"	0.468441
11	"10"	0.541828
11	"12"	0.521176
11	"14"	0.379616
12	"0"	0.613209
12	"1"	0.539757285714286
12	"2"	0.560102
12	"4"	0.5156415
12	"5"	0.735462
12	"8"	0.568799142857143
12	"9"	0.517297
12	"10"	0.45382
12	"12"	0.420931
12	"14"	0.4773265
13	"0"	0.409825
13	"1"	0.539761
13	"2"	0.408375
13	"4"	0.61884
13	"5"	0.480294
13	"8"	0.516191
13	"9"	0.432996725
13	"10"	0.297133
13	"12"	0.365689
13	"14"	0.391395
17	"0"	0.483282
17	"1"	0.4129
17	"2"	0.407629
17	"4"	0.422594
17	"5"	0.408197
17	"8"	0.3519855
17	"9"	0.395988
17	"10"	0.332753
17	"12"	0.287448
17	"14"	0.580443
20	"0"	0.565157
20	"1"	0.482715
20	"2"	0.6291765
20	"4"	0.6700045
20	"5"	0.428986
20	"8"	0.00645333
20	"9"	0.4871
20	"10"	0.393478
20	"12"	0.23913675
20	"14"	0.180933
21	"0"	0.469696
21	"1"	0.608325
21	"2"	0.498001
21	"4"	0.44267
21	"5"	0.38978
21	"8"	0.441587
21	"9"	0.40505
21	"10"	0.408309
21	"12"	0.469592
21	"14"	0.382599
22	"0"	0.595346
22	"1"	0.59691
22	"2"	0.341614
22	"4"	0.612405
22	"5"	0.581879
22	"8"	0.300585
22	"9"	0.384446
22	"10"	0.736665
22	"12"	0.595102
22	"14"	0.497631
23	"0"	0.522468
23	"1"	0.556574
23	"2"	0.46229
23	"4"	0.484396
23	"5"	0.636412666666667
23	"8"	0.5116006
23	"9"	0.596268
23	"10"	0.46249675
23	"12"	0.500873
23	"14"	0.427743666666667
24	"0"	0.354669
24	"1"	0.410278
24	"2"	0.381349
24	"4"	0.361288666666667
24	"5"	0.41851
24	"8"	0.477209
24	"9"	0.414596
24	"10"	0.402273
24	"12"	0.3376255
24	"14"	0.391602
25	"0"	0.497001
25	"1"	0.518136
25	"2"	0.272839
25	"4"	0.504625
25	"5"	0.502968
25	"8"	0.364985
25	"9"	0.510078
25	"10"	0.176258
25	"12"	0.0349871
25	"14"	0.305624
26	"0"	0.471785
26	"1"	0.440645
26	"2"	0.324188
26	"4"	0.469123
26	"5"	0.47926
26	"8"	0.510118
26	"9"	0.585833
26	"10"	0.435476
26	"12"	0.0208744
26	"14"	0.414346
27	"0"	0.334884
27	"1"	0.351745
27	"2"	0.352784
27	"4"	0.330395
27	"5"	0.342245
27	"8"	0.335617
27	"9"	0.343922
27	"10"	0.363821
27	"12"	0.3458925
27	"14"	0.273293
28	"0"	0.450847
28	"1"	0.0780301
28	"2"	0.3481222
28	"4"	0.406702
28	"5"	0.4044953
28	"8"	0.362601
28	"9"	0.321137
28	"10"	0.350705
28	"12"	0.532043
28	"14"	0.317168714285714
30	"0"	0.308919
30	"1"	0.400265
30	"2"	0.3639105
30	"4"	0.3345218
30	"5"	0.300519
30	"8"	0.2501435
30	"9"	0.309746
30	"10"	0.247588
30	"12"	0.3770955
30	"14"	0.364257
32	"0"	0.286639
32	"1"	0.276477
32	"2"	0.290763
32	"4"	0.267648
32	"5"	0.266661
32	"8"	0.275373
32	"9"	0.282026
32	"10"	0.264808
32	"12"	0.270934
32	"14"	0.259244
33	"0"	0.626676
33	"1"	0.64202
33	"2"	0.622783
33	"4"	0.638626
33	"5"	0.614422
33	"8"	0.492614
33	"9"	0.608921
33	"10"	0.603644
33	"12"	0.278043
33	"14"	0.5429495
34	"0"	0.512043
34	"1"	0.423924
34	"2"	0.423774
34	"4"	0.470113
34	"5"	0.445564
34	"8"	0.386682
34	"9"	0.315273
34	"10"	0.293851
34	"12"	0.403020375
34	"14"	0.393275
36	"0"	0.5869325
36	"1"	0.455574
36	"2"	0.556407
36	"4"	0.449684
36	"5"	0.453376
36	"8"	0.446117
36	"9"	0.3903945
36	"10"	0.401991
36	"12"	0.479981
36	"14"	0.439123
37	"0"	0.208682333333333
37	"1"	0.00682223
37	"2"	0.09821085
37	"4"	0.107198
37	"5"	0.0771036
37	"8"	0.139577
37	"9"	0.211746
37	"10"	0.0199829
37	"12"	0.0523353
37	"14"	0.257455
38	"0"	0.2595
38	"1"	0.271262
38	"2"	0.283078
38	"4"	0.291446
38	"5"	0.311745
38	"8"	0.291443
38	"9"	0.4337
38	"10"	0.309401
38	"12"	0.40749
38	"14"	0.2357955
46	"0"	0.419587
46	"1"	0.320801
46	"2"	0.318668
46	"4"	0.279152
46	"5"	0.360339
46	"8"	0.21932
46	"9"	0.274153
46	"10"	0.2488885
