"","UniProt","median.K"
"268","P24298",0.015
"269","P24387",0.5425
"270","P24593",0.2975
"271","P25311",0.17275
"272","P25774",0.08
"273","P25788",0.049
"274","P25940",0.1735
"275","P26038",0.0975
"276","P26447",0.126
"277","P26572",0.1765
"278","P26992",0.114
"279","P27169",0.057
"280","P27487",0.071
"281","P27797",0.075
"282","P27918",0.07425
"283","P27930",0.073
"284","P28070",0.082
"285","P28072",0.003
"286","P29622",0.17925
"287","P29966",0.1075
"288","P30041",0.95
"289","P30043",0.02825
"290","P30086",0.057
"291","P30530",0.21
"292","P31146",0.083
"293","P31150",0.022
"294","P31946",0.0855
"295","P32320",0.075
"296","P32754",0.09625
"297","P33151",0.057
"298","P33908",0.468
"299","P34096",0.366
"300","P34932",0.0425
"301","P35443",-0.000499999999999999
"302","P35527",0.0125
"303","P35542",0.13725
"304","P35555",0.0115
"305","P35579",0.0985
"306","P35858",0.212
"307","P35908",0.0055
"308","P35968",0.0515
"309","P36871",0.0565
"310","P36955",0.24125
"311","P36980",0.29075
"312","P37802",0.0905
"313","P39059",0.009
"314","P39060",0.0995
"315","P40189",0.0905
"316","P40197",0.065
"317","P41159",503316.75
"318","P41162",0.117
"319","P41218",0.1175
"320","P43121",0.015
"321","P43652",0.1075
"322","P46013",0.0765
"323","P46531",0.0885
"324","P47755",0.095
"325","P48357",0.1045
"326","P48681",0.784
"327","P48740",0.19025
"328","P48960",0.161
"329","P49257",0.734
"330","P49721",0.006
"331","P50895",0.02
"332","P51124",0.0965
"333","P51884",0.0275
"334","P53621",0.052
"335","P53634",0.219
"336","P54289",0.06825
"337","P54802",0.1595
"338","P55056",0.27725
"339","P55072",0.0345
"340","P55103",0.80925
"341","P55268",0.1075
"342","P55291",0.13725
"343","P55774",0.125
"344","P55899",0.1385
"345","P58166",0.405
"346","P60174",0.048
"347","P61626",0.4455
"348","P61981",0.065
"349","P62258",0.043
"350","P62805",0.037
"351","P62942",0.134
"352","P67936",0.013
