"","UniProt","median.K"
"1","A1L4H1",0.089
"2","B0I1T2",0.017
"3","B1AHL2",0.09425
"4","B5MCP1",0.085
"5","B7ZKJ8",8053063.95
"6","C9JEX1",0.169
"7","D6RAR4",0.7225
"8","D6RF35",0.1615
"9","E7EQT9",0.135
"10","E9PQ70",0.737
"11","F8W876",0.362
"12","H0Y7Z1",0.06
"13","H0YHY0",0.2645
"14","H0YNM2",0.1455
"15","H7BXT0",0.194
"16","J3KP74",0.116
"17","O00151",0.014
"18","O00187",0.2215
"19","O00299",0.056
"20","O00391",0.17675
"21","O00462",0.1285
"22","O00468",0.143
"23","O00533",0.037
"24","O14498",0.114
"25","O14793",0.2495
"26","O15031",0.111
"27","O15204",9.922
"28","O15335",0.056
"29","O43157",0.10025
"30","O43505",6039798.03
"31","O43866",0.38625
"32","O75339",0.016
"33","O75503",0.042
"34","O75594",0.383
"35","O75636",0.13825
"36","O75874",0.103
"37","O75882",0.0645
"38","O95445",0.30875
"39","O95479",0.042
"40","O95497",0.08975
"41","O95661",2013266.19
"42","O95980",0.1155
"43","P00352",0.362
"44","P00390",0.0695
"45","P00450",0.0965
"46","P00451",0.203
"47","P00488",0.022
"48","P00734",0.188
"49","P00736",0.446
"50","P00740",0.158
"51","P00742",0.312
"52","P00747",0.26175
"53","P00748",0.218
"54","P00918",0.741
"55","P01008",0.16125
"56","P01009",0.0825
"57","P01019",0.2075
"58","P01023",0.052
"59","P01024",0.16475
"60","P01031",0.177
"61","P01034",0.276
"62","P01040",0.002
"63","P01042",0.1095
"64","P01833",0.08425
"65","P01834",0.052
"66","P01860",0.021
"67","P01871",0.033
"68","P01876",0.168
"69","P01880",0.159
"70","P01891",0.135
"71","P02452",0.439
"72","P02533",0.2135
"73","P02538",0.041
"74","P02647",0.155
"75","P02649",2.51925
"76","P02652",0.09075
"77","P02671",0.13725
"78","P02675",0.068
"79","P02741",0.142
"80","P02743",0.1775
"81","P02745",0.119
"82","P02747",0.10225
"83","P02748",0.188
