UniProt,median.K
P17225,0.13575
P17426,0.1876
P17427,0.4506
P17665,0.037
P17710,0.05935
P17742,0.0882
P17751,0.0642
P17879,0.189
P18242,0.20375
P18572,0.13435
P18654,0.1524375
P18760,0.16735
P18826,0.129333333
P18872,0.137
P19001,0.139
P19096,0.26165
P19123,0.0786
P19157,0.060625
P19221,0.83435
P19253,0.052428571
P19258,0.11
P19324,0.30555
P19536,0.0279
P19783,0.03795
P20029,0.1516
P20065,0.1135
P20108,0.02605
P20152,0.07555
P20918,0.5578
P21107,0.116
P21126,0.3135
P21278,0.078
P21300,0.073166667
P21447,0.139
P21460,0.7059
P21550,0.0705
P21614,0.8864
P21619,0.28
P21956,0.155833333
P21981,0.0764
P22315,0.0955
P22366,1.218
P22599,0.21725
P22892,0.186857143
P22907,0.1555
P23116,0.2525
P23198,0.176
P23242,0.10555
P23492,0.100428571
P23506,0.064
P23591,0.0996
P23780,0.1165
P23927,0.16615
P23953,0.45055
P24270,0.1974
P24369,0.11555
P24452,0.123055556
P24472,0.05785
P24527,0.074625
P24529,0.131
P24547,0.2478
P24549,0.09745
P25444,0.08135
P25976,0.49125
P26039,0.1367
P26040,0.12095
P26041,0.10635
P26043,0.15715
P26231,0.3081
P26262,0.623055556
P26369,0.177
P26443,0.0473
P26516,0.129166667
P26638,0.18295
P26645,0.23555
P26883,0.0699
P27546,0.16955
P27612,0.1014
P27659,0.06775
P27773,0.196
P28063,0.174714286
P28271,0.16375
P28352,0.1115
P28474,0.08095
P28650,0.1084
P28653,0.2443
P28654,0.2665
P28656,0.436
P28660,0.0845
P28665,0.33325
P28798,0.20225
P29268,0.12
P29341,0.10435
P29391,0.1285
P29416,0.223444444
P29595,0.183285714
P29699,0.85605
P29758,0.13575
P29788,1.113
P30115,0.09025
P30416,0.1717
P30681,0.0725
P30999,0.52185
P31001,0.09175
P31230,0.1277
P31428,0.1306
P31532,1.823666667
P31750,0.184333333
P31938,0.130142857
P32020,0.20945
P32067,0.603428571
P32233,0.4103125
P32261,0.81725
P32848,0.0845
P32921,0.1151875
P33622,2.306285714
P34022,0.137625
P34884,0.0618
P34914,0.097
P34928,3.465
P35123,0.326666667
P35235,0.1357
P35278,0.1293
P35282,0.37135
P35283,0.1877
P35293,0.2785
P35385,1.2156
P35441,0.2069
P35486,0.0377
P35505,0.04135
P35550,0.117642857
P35564,0.1504
P35585,0.1594375
P35700,0.10365
P35762,0.168714286
P35979,0.087
P35980,0.056
P36993,0.1765
P37040,0.120055556
P37804,0.09155
P37889,0.083166667
P38060,0.07905
P38647,0.086
P39054,0.38775
P39061,0.122928571
P39447,0.29195
P39655,0.737666667
P39876,0.656642857
P40124,0.16395
P40142,0.06645
P40240,0.179666667
P40336,0.199375
P40630,0.031
P40936,0.1307
P41105,0.062
P41216,0.0493
P41731,2.139
P42125,0.033
P42208,0.17705
P42225,0.151
P42227,0.75765
P42232,0.3629375
P42669,0.04015
P42703,0.409277778
P42925,0.0915
P42932,0.1709
P43023,0.0666
P43024,0.03615
P43883,0.769
P45376,0.05765
P45377,0.0577
P45591,0.10305
P45952,0.04975
P46061,0.34175
P46412,0.47675
P46460,0.126857143
P46467,0.8175
P46471,0.17555
P46638,0.14405
P46664,0.144
P46735,0.2705
P46737,0.19285
P46935,0.4096
P46978,0.121833333
P47199,0.242
P47738,0.09095
P47740,0.109125
P47753,0.0764
P47754,0.0873
P47757,0.1205
P47758,0.14125
P47791,0.062
P47802,0.02875
P47809,0.119
P47811,0.4465
P47857,0.13795
P47911,0.099
P47934,0.036
P47941,0.1761
P47955,0.1488
P47962,0.07455
P47963,0.0694
P48025,0.118
P48036,0.0966
P48193,0.1072
P48410,0.10475
P48428,0.138
P48455,0.208
P48678,0.04105
P48722,0.1849
P48725,0.228
P48758,0.0524
P48771,0.0775
P48772,0.032375
P48774,0.11725
P48787,0.13305
P48962,0.0321
P48999,0.165
P49182,0.2234
P49312,0.1381
P49443,0.115388889
P49586,0.158
P49615,0.082666667
P49722,0.145
P49813,0.1887
P49817,0.0692
P50136,0.1418
P50171,0.0325
P50172,0.32
P50247,0.0441
P50285,0.155
P50295,0.307
P50396,0.0943
P50431,0.12125
P50462,0.09455
P50516,0.088
P50518,0.64275
P50544,0.0533
P50580,0.1695625
P50608,0.097
P50637,0.051
P50752,0.1284
P51125,0.231722222
P51150,0.3998
P51163,0.1447
P51174,0.03425
P51175,0.0435
P51410,0.09825
P51660,0.14345
P51667,0.06555
P51855,0.0785
P51859,0.1208
P51881,0.03255
P51885,0.074
P52196,0.034
P52293,1.114666667
P52479,0.2035
P52480,0.097
P52503,0.0639
P52795,0.119
P52825,0.04475
P52840,0.309
P53026,0.0735
P53395,0.0399
P53612,0.18
P53702,0.152
P53810,0.137
P53986,0.1071875
P53994,0.2283
P53996,0.5145
P54071,0.036
P54116,0.0925
P54310,0.206
P54726,0.1645
P54728,0.4479375
P54729,0.567
P54731,0.037
P54775,0.1331
P54797,0.1305
P54822,0.09425
P54823,0.5175
P54923,0.095125
P55096,0.1843
P55200,0.152
P55264,0.10565
P55284,0.2925
P55292,0.0532
P55772,0.04
P55937,0.1786
P56135,0.029
P56212,0.133333333
P56213,0.035
P56375,0.08815
P56376,0.064
P56380,0.0595
P56382,0.0238
P56387,0.087583333
P56391,0.0315
P56392,0.0482
P56394,0.218833333
P56395,0.1344
P56399,0.11285
P56400,0.11
P56480,0.0323
P56501,0.04745
P56528,0.066
P56565,0.1635
P56695,0.170388889
P56812,0.1694
P56959,0.1152
P57724,0.2235
P57759,0.1685
P57776,0.1543
P57780,0.1152
P57784,0.079
P58021,0.386666667
P58064,0.11
P58137,0.112285714
P58252,0.1302
P58281,0.0601
P58389,0.07115
P58404,0.108
P58771,0.09605
P58774,0.09675
P59017,0.035
P59041,0.073
P59672,0.1205
P59708,0.211916667
P59999,0.081
P60122,0.38145
P60229,0.8076
P60335,0.195
P60603,0.0778
P60670,0.111
P60766,0.1752
P60843,0.207
P60867,0.067
P60904,0.083
P61014,0.1458
P61021,0.28645
P61022,0.097
P61027,0.097666667
P61082,0.22725
P61087,0.15515
P61089,0.0814
P61148,0.251
P61161,0.1115
P61164,0.127571429
P61202,0.149555556
P61211,0.2235
P61222,0.1321
P61255,0.03625
P61290,0.275125
P61358,0.0968
P61514,0.083
P61750,0.288
P61759,0.182
P61922,0.078375
P61971,0.071142857
P61979,0.194
P61982,0.13525
P62071,0.1565
P62073,0.2505
P62075,0.07085
P62077,0.146714286
P62082,0.0996
P62137,0.2423
P62141,0.2205
P62192,0.16385
P62196,0.13195
P62204,0.13845
P62242,0.07885
P62245,0.0633
P62259,0.0921
P62264,0.10855
P62267,0.066
P62270,0.0745
P62274,0.0525
P62281,0.0587
P62301,0.07115
P62315,0.1076
P62331,0.106
P62334,0.201
P62627,0.169
P62631,0.0836
P62702,0.083166667
P62746,0.6255
P62751,0.086166667
P62754,0.10415
P62774,0.2455
P62806,0.099
P62814,0.193722222
P62821,0.16545
P62827,0.119
P62830,0.10365
P62843,0.1406
P62849,0.069
P62855,0.1044
P62858,0.10395
P62869,0.19595
P62874,0.0943
P62880,0.103
P62889,0.104
P62892,0.08045
P62897,0.0258
P62908,0.0873
P62911,0.1465
P62918,0.07535
P62932,0.5192
P62962,0.0998
P62983,0.114333333
P62996,0.205
P63001,0.105
P63005,0.225875
P63011,0.181
P63017,0.11205
P63028,0.1555
P63030,0.0498
P63037,0.4584
P63038,0.0378
P63085,0.331642857
P63087,0.318666667
P63101,0.1249
P63158,0.091555556
P63168,0.173
P63213,0.086
P63242,0.155285714
P63248,0.459375
P63254,0.1225
P63276,0.1146
P63280,0.141333333
P63323,0.108
P63325,0.10035
P63328,0.133714286
P63330,0.18295
P67778,0.0376
P67871,0.183857143
P67984,0.241
P68037,0.10195
P68040,0.11095
P68134,0.02
P68181,0.112
P68254,0.1417
P68368,0.0926
P68510,0.1802
P70122,0.2275
P70168,0.12525
P70170,0.518642857
P70195,0.112214286
P70202,0.162333333
P70236,0.16
P70261,0.136
P70265,0.5460625
P70266,0.2379
P70268,0.42555
P70271,0.618
P70288,0.202
P70290,0.0922
P70296,0.06625
P70297,0.172
P70303,1.3465
P70313,0.226222222
P70335,0.575625
P70336,0.2498
P70349,0.06925
P70362,0.088666667
P70372,0.176
P70398,0.20115
P70404,0.0582
P70414,0.16605
P70670,0.16385
P70695,0.08825
P70698,0.24775
P70704,0.170722222
P80313,0.132
P80314,0.2023
P80315,0.15315
P80316,0.18395
P80317,0.14815
P80318,0.16925
P82198,0.292
P82347,0.0384
P82349,0.1066
P82350,0.0515
P83741,0.154666667
P83882,0.079
P83940,0.360666667
P84084,0.289555556
P84091,0.1443
P84099,0.1231
P84104,0.0772
P85094,0.05585
P97290,0.260714286
P97298,0.219
P97314,0.121
P97315,0.0992
P97333,0.5885
P97351,0.0953
P97352,0.0866875
P97355,0.13085
P97370,0.08845
P97371,0.1351
P97372,0.22005
P97379,0.2065
P97384,0.131
P97390,0.077333333
P97393,0.374
P97429,0.10065
P97443,0.09015
P97447,0.0881
P97449,0.083333333
P97450,0.039
P97467,0.414777778
P97470,0.3855
P97478,0.0471
P97493,0.1416
P97494,0.097714286
P97496,0.057
P97742,0.280555556
P97765,0.1705
P97792,0.567
P97807,0.03375
P97823,0.0516
P97825,0.397
P97855,0.15025
P97872,0.133
P97873,0.0615
P97927,0.0871
P97930,0.097
P98078,0.348333333
P98156,0.606333333
P98192,0.26655
P98203,0.106611111
P99024,0.106
P99026,0.1288125
P99027,0.17975
P99028,0.0356
P99029,0.044
Q00519,0.16135
Q00623,0.78115
Q00724,0.241833333
Q00897,0.3026
Q00898,0.495625
Q00915,0.112714286
Q00PI9,0.094
Q01279,0.3976
Q01339,1.28085
Q01405,0.141388889
Q01730,0.05475
Q01768,0.077
Q01815,0.092444444
