NRMSE,n_masked,imputation_method
0.06915188934504905,1,dmi_np
0.07747506741659303,2,dmi_np
0.10854711396725863,3,dmi_np
0.09999600948503401,4,dmi_np
0.10418579093186585,5,dmi_np
0.12498615666676316,1,si_mean
0.12476041176628791,2,si_mean
0.12482502718810629,3,si_mean
0.12492743573697432,4,si_mean
0.12480093396172381,5,si_mean
0.24293372217086462,1,knn_30
0.25181351207332914,2,knn_30
0.2606775483666838,3,knn_30
0.2756641980825557,4,knn_30
0.2421723996792674,5,knn_30

