ID	t	A0	m0	m1	m2	m3	m4	m5	notFoundBySE
31	13.0000	0.273148	0.273148	0.339968	0.232800	0.104035	0.037722	0.012328	
31	14.0000	0.267150	0.267150	0.346927	0.227692	0.106886	0.040211	0.011134	
32	0.00000	0.453391	0.453391	0.282284	0.094999	0.025975	0.077795	0.054775	
32	1.00000	0.528092	0.528092	0.316665	0.140367	0.014876	0.000000	0.000000	
32	2.00000	0.492312	0.492312	0.301910	0.131691	0.057856	0.016230	0.000000	
32	3.00000	0.488066	0.488066	0.332253	0.133107	0.032497	0.014078	0.000000	
32	5.00000	0.427144	0.427144	0.343644	0.134681	0.074054	0.020478	0.000000	
32	7.00000	0.436713	0.436713	0.344447	0.148646	0.058182	0.012012	0.000000	
32	9.00000	0.296000	0.296000	0.240316	0.122190	0.039549	0.026450	0.020243	
32	10.0000	0.417688	0.417688	0.348704	0.167928	0.054273	0.011407	0.000000	
32	11.0000	0.382098	0.382098	0.360934	0.172559	0.069666	0.014743	0.000000	
32	12.0000	0.405996	0.405996	0.337687	0.194466	0.052575	0.009276	0.000000	
32	13.0000	0.385078	0.385078	0.354695	0.169760	0.057862	0.021466	0.011138	
33	1.00000	0.385230	0.385230	0.339554	0.175435	0.071625	0.028157	0.000000	
33	3.00000	0.340069	0.340069	0.360289	0.211067	0.075598	0.012976	0.000000	
33	5.00000	0.335126	0.335126	0.350861	0.209524	0.084175	0.020314	0.000000	
33	8.00000	0.293189	0.293189	0.378248	0.210698	0.072742	0.038998	0.006124	
33	12.0000	0.294111	0.294111	0.367331	0.202302	0.087132	0.041337	0.007787	
33	13.0000	0.300928	0.300928	0.352733	0.225213	0.097783	0.021160	0.002182	
34	3.00000	0.589538	0.589538	0.321095	0.074409	0.014958	0.000000	0.000000	
34	10.0000	0.429277	0.429277	0.319003	0.251870	-0.000150	0.000000	0.000000	
35	9.00000	0.382814	0.382814	0.352396	0.190010	0.071773	0.003007	0.000000	
35	10.0000	0.335548	0.335548	0.362492	0.234796	0.046582	0.020747	-0.000165	
36	1.00000	0.260005	0.260005	0.321762	0.247950	0.128770	0.039790	0.001722	
36	2.00000	0.241888	0.241888	0.300650	0.229291	0.127036	0.071985	0.026579	
36	3.00000	0.222829	0.222829	0.290715	0.239954	0.137984	0.076362	0.025387	
36	4.00000	0.215432	0.215432	0.305208	0.243740	0.127393	0.072664	0.035562	
36	5.00000	0.197191	0.197191	0.289960	0.238079	0.155234	0.076023	0.030825	
36	6.00000	0.183239	0.183239	0.287517	0.242629	0.166515	0.080669	0.036450	
36	7.00000	0.170675	0.170675	0.267220	0.241626	0.171990	0.082706	0.045112	
36	8.00000	0.165578	0.165578	0.275580	0.272142	0.144946	0.070868	0.024451	
36	9.00000	0.153701	0.153701	0.249746	0.246527	0.180033	0.099302	0.045660	
36	10.0000	0.140583	0.140583	0.266428	0.249020	0.171749	0.097053	0.051892	
36	11.0000	0.144424	0.144424	0.244956	0.255934	0.189554	0.083577	0.056579	
36	12.0000	0.144872	0.144872	0.252054	0.244999	0.176935	0.112622	0.042934	
36	13.0000	0.137124	0.137124	0.249157	0.243880	0.178745	0.101902	0.058087	
36	14.0000	0.120129	0.120129	0.227385	0.262714	0.197899	0.105765	0.059580	
37	14.0000	0.347145	0.347145	0.364984	0.191133	0.069141	0.023337	0.004260	
38	0.00000	0.759787	0.759787	0.233759	0.006453	0.000000	0.000000	0.000000	
39	1.00000	0.354415	0.354415	0.345461	0.162399	0.087028	0.037817	0.012880	
39	2.00000	0.554943	0.554943	0.267264	0.113859	0.059320	0.004614	0.000000	
39	3.00000	0.393805	0.393805	0.307989	0.152596	0.079159	0.040666	0.020449	
39	4.00000	0.691503	0.691503	0.233416	0.047999	0.027082	0.000000	0.000000	
39	5.00000	0.557286	0.557286	0.270127	0.117346	0.044278	0.010963	0.000000	
39	6.00000	0.324935	0.324935	0.353565	0.193283	0.085747	0.032802	0.009668	
39	7.00000	0.422523	0.422523	0.314052	0.158160	0.066015	0.026165	0.013084	
39	8.00000	0.511178	0.511178	0.298428	0.124825	0.047221	0.018348	0.000000	
39	10.0000	0.331984	0.331984	0.283819	0.174610	0.078897	0.048124	0.040148	
39	11.0000	0.430763	0.430763	0.259310	0.132908	0.061024	0.046602	0.040151	
39	12.0000	0.279849	0.279849	0.323267	0.225776	0.105437	0.039845	0.016789	
39	13.0000	0.270882	0.270882	0.360357	0.152417	0.063045	0.058372	0.050227	
40	9.00000	0.226747	0.226747	0.436101	0.195882	0.141270	0.000000	0.000000	
40	10.0000	0.275711	0.275711	0.317567	0.265232	0.135001	0.006490	0.000000	
40	11.0000	0.332793	0.332793	0.462675	0.160723	0.024395	0.019415	0.000000	
40	13.0000	0.126128	0.126128	0.163547	0.145709	0.062492	0.020431	0.147591	
41	2.00000	0.545156	0.545156	0.357320	0.093826	0.003698	0.000000	0.000000	
41	5.00000	0.497034	0.497034	0.364111	0.130483	0.008371	0.000000	0.000000	
41	7.00000	0.484032	0.484032	0.361456	0.126625	0.028208	-0.000320	0.000000	
41	10.0000	0.431518	0.431518	0.365891	0.159764	0.042827	0.000000	0.000000	
41	12.0000	0.449568	0.449568	0.410803	0.130801	0.008828	0.000000	0.000000	
42	10.0000	0.443501	0.443501	0.370637	0.109461	0.066356	0.010045	0.000000	
43	1.00000	0.364145	0.364145	0.357014	0.187786	0.068373	0.021712	0.000970	
43	2.00000	0.393943	0.393943	0.415325	0.148834	0.041897	0.000000	0.000000	
43	3.00000	0.347150	0.347150	0.354211	0.198968	0.076951	0.020543	0.002177	
43	4.00000	0.408836	0.408836	0.339878	0.169060	0.072498	0.009729	0.000000	
43	5.00000	0.338427	0.338427	0.368934	0.194501	0.078949	0.019098	0.000091	
43	6.00000	0.352089	0.352089	0.351269	0.200462	0.080377	0.015802	0.000000	
43	7.00000	0.308938	0.308938	0.346680	0.216867	0.095381	0.031266	0.000869	
43	8.00000	0.303381	0.303381	0.356939	0.214638	0.093271	0.026594	0.005177	
43	9.00000	0.297577	0.297577	0.344160	0.223751	0.093903	0.034618	0.005991	
43	10.0000	0.302467	0.302467	0.351493	0.222821	0.092006	0.024702	0.006510	
43	11.0000	0.317684	0.317684	0.382974	0.221463	0.071141	0.006738	0.000000	
43	12.0000	0.277155	0.277155	0.342935	0.228904	0.112260	0.033421	0.005325	
43	13.0000	0.281883	0.281883	0.348514	0.230938	0.103180	0.034576	0.000908	
43	14.0000	0.272762	0.272762	0.343373	0.236566	0.115499	0.029988	0.001811	
44	8.00000	0.117442	0.117442	0.233423	0.270047	0.183449	0.140821	0.053486	
45	0.00000	0.487739	0.487739	0.337611	0.132505	0.039203	0.002942	0.000000	
45	1.00000	0.446639	0.446639	0.319639	0.119785	0.073230	0.029525	0.011183	
45	2.00000	0.414310	0.414310	0.298808	0.121057	0.153763	0.012062	0.000000	
45	3.00000	0.412803	0.412803	0.313929	0.128785	0.132215	0.012269	0.000000	
45	4.00000	0.438723	0.438723	0.327596	0.152787	0.065966	0.014929	0.000000	
45	5.00000	0.386092	0.386092	0.326117	0.146872	0.126134	0.014785	0.000000	
45	6.00000	0.385876	0.385876	0.334547	0.158162	0.096320	0.021145	0.003951	
45	7.00000	0.377426	0.377426	0.327373	0.165824	0.111475	0.017902	0.000000	
45	8.00000	0.373829	0.373829	0.361226	0.181571	0.065763	0.017610	0.000000	
45	9.00000	0.358295	0.358295	0.356499	0.187240	0.072771	0.021132	0.004064	
45	10.0000	0.343080	0.343080	0.360302	0.194270	0.073506	0.022389	0.006453	
45	11.0000	0.336720	0.336720	0.340839	0.187113	0.088217	0.021645	0.020274	
45	12.0000	0.333927	0.333927	0.343712	0.208851	0.078269	0.025507	0.009734	
45	13.0000	0.339093	0.339093	0.350075	0.198168	0.077432	0.024474	0.010758	
45	14.0000	0.281681	0.281681	0.312694	0.179822	0.076141	0.043505	0.080633	
46	3.00000	0.239281	0.239281	0.364314	0.260388	0.105751	0.030267	0.000000	
46	5.00000	0.217595	0.217595	0.333618	0.275780	0.159226	0.013781	0.000000	
46	9.00000	0.180042	0.180042	0.277032	0.264005	0.180570	0.084814	0.013538	
46	11.0000	0.185914	0.185914	0.263773	0.292527	0.171860	0.063755	0.022171	
46	13.0000	0.181468	0.181468	0.264662	0.275691	0.183078	0.081547	0.013554	
46	14.0000	0.182995	0.182995	0.253931	0.220174	0.194035	0.111125	0.037740	
47	0.00000	0.509823	0.509823	0.329641	0.124030	0.030914	0.005593	0.000000	
47	1.00000	0.516699	0.516699	0.312891	0.117612	0.032995	0.019803	0.000000	
47	2.00000	0.462552	0.462552	0.310290	0.117650	0.032885	0.025338	0.030159	
47	3.00000	0.439943	0.439943	0.326540	0.125145	0.035081	0.051896	0.021395	
47	4.00000	0.273090	0.273090	0.191509	0.065635	0.019488	0.042074	0.021975	
47	5.00000	0.424543	0.424543	0.313617	0.135680	0.040484	0.066874	0.018801	
47	6.00000	0.300031	0.300031	0.231512	0.089891	0.022932	0.125087	0.055827	
47	7.00000	0.389781	0.389781	0.331811	0.155035	0.049425	0.020794	0.024009	
47	8.00000	0.317803	0.317803	0.329563	0.194207	0.072057	0.080795	0.005576	
47	9.00000	0.377576	0.377576	0.357320	0.179689	0.061747	0.020410	0.003258	
47	10.0000	0.384322	0.384322	0.364778	0.174716	0.059300	0.016883	0.000000	
47	11.0000	0.593455	0.593455	0.278232	0.101146	0.027167	0.000000	0.000000	
47	12.0000	0.350818	0.350818	0.364125	0.184268	0.073565	0.026875	0.000349	
47	13.0000	0.365093	0.365093	0.363928	0.184045	0.071183	0.015751	0.000000	
47	14.0000	0.381108	0.381108	0.345552	0.198781	0.062148	0.012412	0.000000	
48	2.00000	0.381927	0.381927	0.286889	0.237438	0.075767	0.017979	0.000000	
48	3.00000	0.314779	0.314779	0.268783	0.216208	0.123402	0.042643	0.034185	
48	4.00000	0.320095	0.320095	0.359968	0.246659	0.058039	0.015239	0.000000	
48	5.00000	0.387509	0.387509	0.407929	0.133414	0.052047	0.019102	0.000000	
48	6.00000	0.232554	0.232554	0.434954	0.317591	0.014900	0.000000	0.000000	
48	8.00000	0.269898	0.269898	0.313396	0.246774	0.104811	0.038511	0.026396	
48	12.0000	0.215352	0.215352	0.289377	0.284430	0.133144	0.039579	0.037102	
48	13.0000	0.238102	0.238102	0.305456	0.272938	0.125227	0.032297	0.025981	
49	0.00000	0.541280	0.541280	0.313709	0.104457	0.040554	0.000000	0.000000	
49	8.00000	0.479151	0.479151	0.356323	0.129174	0.035353	0.000000	0.000000	
50	0.00000	0.588747	0.588747	0.295833	0.093133	0.022287	0.000000	0.000000	
50	8.00000	0.536862	0.536862	0.324568	0.112719	0.025851	0.000000	0.000000	
50	9.00000	0.532238	0.532238	0.317244	0.114144	0.030401	0.005973	0.000000	
51	2.00000	0.382835	0.382835	0.407739	0.209426	0.000000	0.000000	0.000000	
51	3.00000	0.253864	0.253864	0.337983	0.224822	0.183331	0.000000	0.000000	
51	4.00000	0.475742	0.475742	0.341121	0.144023	0.039113	0.000000	0.000000	
51	5.00000	0.622767	0.622767	0.225885	0.151347	0.000000	0.000000	0.000000	
51	7.00000	0.472133	0.472133	0.360599	0.167268	0.000000	0.000000	0.000000	
51	8.00000	0.290516	0.290516	0.274479	0.253197	0.118827	0.048049	0.014932	
51	9.00000	0.185135	0.185135	0.341564	0.274490	0.109349	0.053243	0.036219	
51	13.0000	0.203584	0.203584	0.348797	0.256115	0.144575	0.046929	0.000000	
51	14.0000	0.205037	0.205037	0.327537	0.262508	0.142241	0.055344	0.007333	
52	11.0000	0.327180	0.327180	0.299435	0.172149	0.042434	0.029958	0.049181	
53	0.00000	0.567167	0.567167	0.306584	0.102996	0.023254	0.000000	0.000000	
53	9.00000	0.430194	0.430194	0.330344	0.140285	0.049041	0.048271	0.001864	
53	10.0000	0.428634	0.428634	0.349176	0.147966	0.044680	0.025583	0.003962	
53	11.0000	0.422062	0.422062	0.356219	0.150846	0.050998	0.019876	0.000000	
53	13.0000	0.400397	0.400397	0.358314	0.172631	0.055095	0.013564	0.000000	
53	14.0000	0.284911	0.284911	0.263191	0.119339	0.026581	0.062790	0.038487	
54	9.00000	0.356205	0.356205	0.360172	0.190230	0.070109	0.020552	0.002731	
54	11.0000	0.336367	0.336367	0.361010	0.211190	0.070332	0.020899	0.000202	
55	0.00000	0.592916	0.592916	0.258899	0.148185	0.000000	0.000000	0.000000	
56	2.00000	0.604609	0.604609	0.287774	0.095218	0.012399	0.000000	0.000000	
56	3.00000	0.651173	0.651173	0.270910	0.076405	0.001512	0.000000	0.000000	
56	4.00000	1.00001	1.000013	-0.000013	0.000000	0.000000	0.000000	0.000000	
56	5.00000	0.588475	0.588475	0.297562	0.097410	0.016554	0.000000	0.000000	
56	7.00000	0.568330	0.568330	0.305723	0.108405	0.017542	0.000000	0.000000	
56	9.00000	0.526900	0.526900	0.322966	0.113020	0.031099	0.006015	0.000000	
56	10.0000	0.515403	0.515403	0.328558	0.123008	0.027860	0.005170	0.000000	
56	11.0000	0.558403	0.558403	0.230046	0.199295	0.012256	0.000000	0.000000	
56	12.0000	0.311458	0.311458	0.192392	0.285983	0.162957	0.032072	0.015138	
56	13.0000	0.514620	0.514620	0.314117	0.133292	0.034875	0.003095	0.000000	
56	14.0000	0.492656	0.492656	0.245144	0.168564	0.076569	0.017066	0.000000	
57	3.00000	0.611211	0.611211	0.327070	0.058981	0.002737	0.000000	0.000000	
57	7.00000	0.600376	0.600376	0.323072	0.072850	0.003701	0.000000	0.000000	
57	9.00000	0.556526	0.556526	0.340670	0.101910	0.000894	0.000000	0.000000	
57	10.0000	0.580580	0.580580	0.322452	0.086319	0.010648	0.000000	0.000000	
57	14.0000	0.284895	0.284895	0.164002	0.542797	0.008306	0.000000	0.000000	
58	11.0000	0.310466	0.310466	0.347714	0.212749	0.086574	0.034732	0.007765	
59	11.0000	0.339774	0.339774	0.323145	0.173721	0.099492	0.047916	0.015953	
59	13.0000	0.323586	0.323586	0.293769	0.189583	0.120013	0.064550	0.008499	
60	0.00000	0.300471	0.300471	0.321762	0.045921	0.094900	0.236946	0.000000	
60	14.0000	0.153596	0.153596	0.134656	0.056822	0.028153	0.101482	0.047015	
61	3.00000	0.613910	0.613910	0.308116	0.068094	0.009880	0.000000	0.000000	
61	4.00000	0.685557	0.685557	0.227980	0.055787	0.030676	0.000000	0.000000	
61	5.00000	0.600303	0.600303	0.319949	0.076514	0.003235	0.000000	0.000000	
61	7.00000	0.598236	0.598236	0.313295	0.088469	0.000000	0.000000	0.000000	
61	8.00000	0.583632	0.583632	0.345733	0.061950	0.008685	0.000000	0.000000	
61	9.00000	0.548949	0.548949	0.346756	0.103028	0.001266	0.000000	0.000000	
61	10.0000	0.562413	0.562413	0.320877	0.115855	0.000854	0.000000	0.000000	
61	11.0000	0.538593	0.538593	0.332746	0.116725	0.011936	0.000000	0.000000	
61	12.0000	0.597720	0.597720	0.329300	0.056832	0.016148	0.000000	0.000000	
61	13.0000	0.549928	0.549928	0.300147	0.149925	0.000000	0.000000	0.000000	
61	14.0000	0.588302	0.588302	0.318097	0.093887	-0.000286	0.000000	0.000000	
62	3.00000	0.563738	0.563738	0.306703	0.107046	0.022512	0.000000	0.000000	
62	11.0000	0.439869	0.439869	0.324534	0.161259	0.057872	0.016466	0.000000	
63	1.00000	0.485536	0.485536	0.427513	0.072923	0.014028	0.000000	0.000000	
63	2.00000	0.477508	0.477508	0.361944	0.125178	0.035370	0.000000	0.000000	
63	3.00000	0.458020	0.458020	0.345274	0.146789	0.049938	-0.000022	0.000000	
63	5.00000	0.412723	0.412723	0.396240	0.156091	0.034946	0.000000	0.000000	
63	7.00000	0.445604	0.445604	0.352639	0.157458	0.044299	0.000000	0.000000	
63	9.00000	0.360810	0.360810	0.357214	0.191271	0.076585	0.014119	0.000000	
63	10.0000	0.372194	0.372194	0.365710	0.188478	0.062949	0.010669	0.000000	
63	11.0000	0.349028	0.349028	0.350171	0.190053	0.094643	0.016106	0.000000	
63	13.0000	0.349224	0.349224	0.380153	0.198374	0.059722	0.012527	0.000000	
64	5.00000	0.594758	0.594758	0.302216	0.087052	0.015974	0.000000	0.000000	
64	9.00000	0.497804	0.497804	0.343415	0.110579	0.025522	0.022679	0.000000	
64	10.0000	0.464749	0.464749	0.370090	0.130163	0.033009	0.001989	0.000000	
65	11.0000	0.373671	0.373671	0.363603	0.181941	0.063665	0.017120	0.000000	
66	0.00000	0.227377	0.227377	0.336543	0.266615	0.132242	0.027713	0.009510	
66	3.00000	0.241764	0.241764	0.327699	0.224447	0.138386	0.049590	0.018140	
66	9.00000	0.243283	0.243283	0.188207	0.302424	0.114340	0.118905	0.017954	
66	13.0000	0.250624	0.250624	0.230604	0.230033	0.179921	0.089110	0.015455	
67	0.00000	0.386751	0.386751	0.339664	0.186149	0.071141	0.016294	0.000000	
67	1.00000	0.388874	0.388874	0.359119	0.156327	0.055293	0.029400	0.010987	
67	2.00000	0.393620	0.393620	0.396453	0.154788	0.040524	0.014614	0.000000	
67	3.00000	0.359548	0.359548	0.378022	0.209266	0.051892	0.001271	0.000000	
67	7.00000	0.374103	0.374103	0.456374	0.169523	0.000000	0.000000	0.000000	
67	8.00000	0.336242	0.336242	0.363614	0.211090	0.083135	0.005919	0.000000	
67	9.00000	0.266729	0.266729	0.387945	0.245737	0.078558	0.020099	0.000933	
67	10.0000	0.322951	0.322951	0.370794	0.214800	0.091455	0.000000	0.000000	
67	12.0000	0.276845	0.276845	0.343073	0.231873	0.103813	0.031473	0.012923	
67	13.0000	0.261844	0.261844	0.345214	0.236206	0.100548	0.033596	0.022592	
67	14.0000	0.333321	0.333321	0.335689	0.219536	0.111454	0.000000	0.000000	
68	11.0000	0.414736	0.414736	0.351706	0.135495	0.049255	0.035225	0.013583	
69	3.00000	0.442587	0.442587	0.399221	0.059025	0.096039	0.003127	0.000000	
70	1.00000	0.472130	0.472130	0.306187	0.207614	0.014069	0.000000	0.000000	
70	13.0000	0.366099	0.366099	0.178722	0.079633	0.024214	0.113038	0.140096	
71	4.00000	0.498710	0.498710	0.335745	0.165545	0.000000	0.000000	0.000000	
72	0.00000	0.316068	0.316068	0.359136	0.238400	0.062323	0.024073	0.000000	
72	7.00000	0.248481	0.248481	0.324272	0.207764	0.159488	0.059995	0.000000	
