"ID"	"t"	"A0"
34	"4"	0.45959
34	"5"	0.45056
34	"6"	0.382067
34	"7"	0.36131
34	"8"	0.601416
34	"9"	0.465165
34	"10"	0.429277
34	"11"	0.417495
34	"12"	0.468791
34	"13"	0.395698
34	"14"	0.437081
35	"0"	0.524319
35	"1"	0.386869
35	"2"	0.372961
35	"3"	0.420557
35	"4"	0.400912
35	"5"	0.384805
35	"6"	0.960879
35	"7"	0.338015
35	"8"	0.400423
35	"9"	0.382814
35	"10"	0.335548
35	"11"	0.340966
35	"12"	0.328287
35	"13"	0.333721
35	"14"	0.421448
36	"0"	0.234188
36	"1"	0.260005
36	"2"	0.241888
36	"3"	0.222829
36	"4"	0.215432
36	"5"	0.197191
36	"6"	0.183239
36	"7"	0.170675
36	"8"	0.165578
36	"9"	0.153701
36	"10"	0.140583
36	"11"	0.144424
36	"12"	0.144872
36	"13"	0.137124
36	"14"	0.120129
39	"0"	0.425614
39	"1"	0.354415
39	"2"	0.554943
39	"3"	0.393805
39	"4"	0.691503
39	"5"	0.557286
39	"6"	0.324935
39	"7"	0.422523
39	"8"	0.511178
39	"9"	0.306539
39	"10"	0.331984
39	"11"	0.430763
39	"12"	0.279849
39	"13"	0.270882
39	"14"	0.252891
40	"0"	0.360804
40	"1"	0.201887
40	"2"	0.660363
40	"3"	0.415243
40	"4"	0.29966
40	"5"	0.326849
40	"6"	0.560355
40	"7"	0.31347
40	"8"	0.209455
40	"9"	0.226747
40	"10"	0.275711
40	"11"	0.332793
40	"12"	0.230896
40	"13"	0.126128
40	"14"	0.171406
41	"0"	0.506688
41	"1"	0.545668
41	"2"	0.545156
41	"3"	0.532233
41	"4"	0.573488
41	"5"	0.497034
41	"6"	0.460879
41	"7"	0.484032
41	"8"	0.196556
41	"9"	0.45125
41	"10"	0.431518
41	"11"	0.597034
41	"12"	0.449568
41	"13"	0.375912
41	"14"	0.369202
43	"0"	0.429001
43	"1"	0.364145
43	"2"	0.393943
43	"3"	0.34715
43	"4"	0.408836
43	"5"	0.338427
43	"6"	0.352089
43	"7"	0.308938
43	"8"	0.303381
43	"9"	0.297577
43	"10"	0.302467
43	"11"	0.317684
43	"12"	0.277155
43	"13"	0.281883
43	"14"	0.272762
45	"0"	0.487739
45	"1"	0.446639
45	"2"	0.41431
45	"3"	0.412803
45	"4"	0.438723
45	"5"	0.386092
45	"6"	0.385876
45	"7"	0.377426
45	"8"	0.373829
45	"9"	0.358295
45	"10"	0.34308
45	"11"	0.33672
45	"12"	0.333927
45	"13"	0.339093
45	"14"	0.281681
46	"0"	0.275363
46	"1"	0.202119
46	"2"	0.298457
46	"3"	0.239281
46	"4"	0.360859
46	"5"	0.217595
46	"6"	0.231642
46	"7"	0.191942
46	"8"	0.201376
46	"9"	0.180042
46	"10"	0.179724
46	"11"	0.185914
46	"12"	0.196784
46	"13"	0.181468
46	"14"	0.182995
47	"0"	0.509823
47	"1"	0.516699
47	"2"	0.462552
47	"3"	0.439943
47	"4"	0.27309
47	"5"	0.424543
47	"6"	0.300031
47	"7"	0.389781
47	"8"	0.317803
47	"9"	0.377576
47	"10"	0.384322
47	"11"	0.593455
47	"12"	0.350818
47	"13"	0.365093
47	"14"	0.381108
48	"0"	0.394897
48	"1"	0.34785
48	"2"	0.381927
48	"3"	0.314779
48	"4"	0.320095
48	"5"	0.387509
48	"6"	0.232554
48	"7"	0.323356
48	"8"	0.269898
48	"9"	0.301626
48	"10"	0.368754
48	"11"	0.256719
48	"12"	0.215352
48	"13"	0.238102
48	"14"	0.224512
49	"0"	0.54128
49	"1"	0.491505
49	"2"	0.34607
49	"3"	0.33238
49	"4"	0.420533
49	"5"	0.342527
49	"6"	0.152159
49	"7"	0.348253
49	"8"	0.479151
49	"9"	0.501579
49	"10"	0.45274
49	"11"	0.455688
49	"12"	0.417409
49	"13"	0.246086
49	"14"	0.209553
50	"0"	0.588747
50	"1"	0.558807
50	"2"	0.517366
50	"3"	0.507512
50	"4"	0.538252
50	"5"	0.492339
50	"6"	0.558913
50	"7"	0.538241
50	"8"	0.536862
50	"9"	0.532238
50	"10"	0.515717
50	"11"	0.541192
50	"12"	0.47701
50	"13"	0.511184
50	"14"	0.16337
51	"0"	0.418111
51	"1"	0.49174
51	"2"	0.382835
51	"3"	0.253864
51	"4"	0.475742
51	"5"	0.622767
51	"6"	0.499945
51	"7"	0.472133
51	"8"	0.290516
51	"9"	0.185135
51	"10"	0.246116
51	"11"	0.266336
51	"12"	0.246569
51	"13"	0.203584
51	"14"	0.205037
53	"0"	0.567167
53	"1"	0.471064
53	"2"	0.477164
53	"3"	0.453835
53	"4"	0.418398
53	"5"	0.458472
53	"6"	0.403926
53	"7"	0.449475
53	"8"	0.400399
53	"9"	0.430194
53	"10"	0.428634
53	"11"	0.422062
53	"12"	0.503395
53	"13"	0.400397
53	"14"	0.284911
54	"0"	0.415173
54	"1"	0.548035
54	"2"	0.508057
54	"3"	0.469462
54	"4"	0.445084
54	"5"	0.455994
54	"6"	0.494648
54	"7"	0.318031
54	"8"	0.305449
54	"9"	0.356205
54	"10"	0.319501
54	"11"	0.336367
54	"12"	0.376593
54	"13"	0.344617
54	"14"	0.30983
56	"0"	0.580014
56	"1"	0.618776
56	"2"	0.604609
56	"3"	0.651173
56	"4"	1.00001
56	"5"	0.588475
56	"6"	0.543768
56	"7"	0.56833
56	"8"	0.517558
56	"9"	0.5269
56	"10"	0.515403
56	"11"	0.558403
56	"12"	0.311458
56	"13"	0.51462
56	"14"	0.492656
57	"0"	0.557587
57	"1"	0.621238
57	"2"	0.620316
57	"3"	0.611211
57	"4"	0.616034
57	"5"	0.52949
57	"6"	0.411416
57	"7"	0.600376
57	"8"	0.565782
57	"9"	0.556526
57	"10"	0.58058
57	"11"	0.574504
57	"12"	0.473477
57	"13"	0.457923
57	"14"	0.284895
59	"0"	0.430938
59	"1"	0.544635
59	"2"	0.431825
59	"3"	0.412803
59	"4"	0.823919
59	"5"	0.420725
59	"6"	0.453317
59	"7"	0.36131
59	"8"	0.319217
59	"9"	0.349409
59	"10"	0.274083
59	"11"	0.339774
59	"12"	0.323782
59	"13"	0.323586
59	"14"	0.334975
60	"0"	0.300471
60	"1"	0.406374
60	"2"	0.38266
60	"3"	0.419898
60	"4"	0.182709
60	"5"	0.390737
60	"6"	0.257233
60	"7"	0.288939
60	"8"	0.110157
60	"9"	0.128
60	"10"	0.140676
60	"11"	0.290032
60	"12"	0.180289
60	"13"	0.0401168
60	"14"	0.153596
61	"0"	0.580014
61	"1"	0.484374
61	"2"	0.571733
61	"3"	0.61391
61	"4"	0.685557
61	"5"	0.600303
61	"6"	0.583731
61	"7"	0.598236
61	"8"	0.583632
61	"9"	0.548949
61	"10"	0.562413
61	"11"	0.538593
61	"12"	0.59772
61	"13"	0.549928
61	"14"	0.588302
62	"0"	0.724218
62	"1"	0.608988
62	"2"	0.504115
62	"3"	0.563738
62	"4"	0.478678
62	"5"	0.481813
62	"6"	0.442047
62	"7"	0.472133
62	"8"	0.417397
62	"9"	0.477966
62	"10"	0.468047
62	"11"	0.439869
62	"12"	0.443623
62	"13"	0.453093
62	"14"	0.457378
63	"0"	0.510477
63	"1"	0.485536
63	"2"	0.477508
63	"3"	0.45802
63	"4"	0.381202
63	"5"	0.412723
63	"6"	0.436456
63	"7"	0.445604
63	"8"	0.28458
63	"9"	0.36081
63	"10"	0.372194
63	"11"	0.349028
63	"12"	0.351136
63	"13"	0.349224
63	"14"	0.451432
64	"0"	0.592624
64	"1"	0.620574
64	"2"	0.624316
64	"3"	0.602169
64	"4"	0.565443
64	"5"	0.594758
64	"6"	0.56312
64	"7"	0.597256
64	"8"	0.471204
64	"9"	0.497804
64	"10"	0.464749
64	"11"	0.492336
64	"12"	0.451193
64	"13"	0.486255
64	"14"	0.450103
66	"0"	0.227377
66	"1"	0.322567
66	"2"	0.314263
66	"3"	0.241764
66	"4"	0.245636
66	"5"	0.221254
66	"6"	0.248482
66	"7"	0.214311
66	"8"	0.256002
66	"9"	0.243283
66	"10"	0.246327
66	"11"	0.178327
66	"12"	0.184773
66	"13"	0.250624
66	"14"	0.202701
