A2A5R2	1.0256026185970772E-7	3.695147522304737E-8	5.596616039941029E-7	2.7658483129421546E-8	1.1926270586359992E-7	5.122356990183048E-9	1.1706458547204881E-8
A2ADF7	9.418186485451296E-9	2.1401848000737871E-7	1.2069867688738404E-7	1.2860350390696255E-8	1.3031600466952208E-8	1.3548022446504258E-8	7.585498463591114E-9
A2AMM0	3.2143537699602187E-7	4.4162609240271803E-7	5.622519119576726E-7	8.449164226810215E-7	6.220204163234473E-7	9.78243621588961E-7	5.658636609536485E-7
A2AN08	4.057093898013154E-7	4.142167251384766E-6	4.6590349895949245E-7	6.031505818435338E-7	6.220025381380784E-7	3.643720581061864E-7	6.827954480966791E-7
A2APY7	1.4246635145639324E-8	1.3727670329597258E-7	4.768307201492269E-7	2.4798132523870253E-7	8.356142361229816E-8	9.112075433411292E-8	1.2612437938467172E-7
A2AQ19	2.42431604339097E-9	0.0	2.0127926022177565E-8	0.0	0.0	0.0	0.0
A2ARV4	1.9150846927522327E-7	0.0	0.0	0.0	7.871389663170888E-9	0.0	0.0
A2ATU0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2AWA9	3.838606265129219E-7	7.598624478579625E-9	0.0	0.0	0.0	2.717663666078574E-8	5.4853347570789744E-9
A2RSQ0	2.8154879139515516E-9	0.0	2.0145116368878287E-9	0.0	0.0	0.0	0.0
A3KMP2	2.3920986633210555E-7	7.895734765025399E-7	1.0587380383262242E-6	6.315490898052835E-7	3.856148907103627E-7	9.202689549566171E-7	1.2102584565605585E-6
A6H611	1.979919904116172E-7	2.0189809432312229E-7	7.290110214528948E-7	1.660270852630394E-7	6.66045116195157E-7	8.879220635817429E-8	2.311685600518899E-7
A6H6E2	2.6478556575740042E-6	3.0265068465811464E-8	2.3652154657402816E-8	1.1933536876586073E-8	1.3665375406936059E-8	3.759135152224758E-8	1.3569808576787483E-8
A6H8H2	2.157634472104413E-8	1.7923143501780237E-8	7.686352223733507E-9	5.0499261945222093E-8	1.6821401631033882E-8	2.2628520559213805E-8	2.8838440942023382E-8
B1AY13	2.3951810159859563E-8	5.520385548317468E-8	3.022385455707792E-8	7.679140576679799E-8	5.223079901548444E-8	3.018708889109659E-8	1.1699968571234082E-7
B1AZI6	1.3298379477101622E-8	3.373425384538848E-7	1.4722969392784698E-7	1.514373089481482E-8	1.0464490580292185E-7	3.7804307483271444E-9	5.270356296031585E-8
B2RXS4	4.922045548248618E-8	1.1206308034554426E-7	7.619907575233014E-8	3.8040334124837346E-8	2.417549151083675E-8	1.2346217020949714E-7	1.3034322214408235E-7
D3YXK2	8.551485848461598E-9	0.0	3.4882655206755066E-9	1.6351304869157647E-7	0.0	1.0544159443234785E-8	1.4267535525272126E-8
D3Z7P3	8.909763120362216E-8	1.010591770813315E-7	2.8579458454805464E-7	9.795628959837407E-8	8.29800476886904E-8	1.7925337705757415E-8	2.495724572867379E-7
E9Q401	1.2574029109080779E-5	1.5356016870423356E-5	7.808287467665925E-6	1.4474031844336103E-5	1.3843222495183052E-5	1.5133561037786455E-5	1.1079054520155397E-5
F6ZDS4	3.8031493671189483E-7	3.636497591007384E-8	7.121381585043197E-8	3.649779310141688E-8	2.4031572115425784E-7	1.0937431967368033E-7	1.0738543971363923E-8
G5E8K5	2.4660086213160277E-7	1.1031251073661834E-7	2.083897589509307E-7	1.167211419787529E-7	4.212009584641367E-7	9.874876728717712E-8	7.647067435442052E-7
O08528	6.664502499721467E-6	3.090872038887529E-6	2.513888254994413E-6	4.22714124770919E-6	3.969067611141741E-6	3.019223041892761E-6	2.8707321198904227E-6
O08529	1.2154754524045774E-6	1.4047068069629837E-6	4.062524890896025E-7	5.555505342195073E-7	1.2373536745909828E-6	8.228803047455437E-7	6.343765240592436E-7
O08579	2.1217107273874648E-7	1.3095563888786576E-8	4.809578470862472E-8	4.293289994056187E-7	3.801984535344764E-7	8.178801395177085E-7	3.6581910994016696E-8
O08600	1.89521565106697E-7	2.60304382502173E-7	4.5505889676546576E-7	3.1180367547825986E-7	1.2598297474930816E-6	6.143378393630449E-6	2.9521065666339266E-7
O08638	5.033324357756977E-6	1.0171370016843345E-6	1.9904026025497307E-6	1.606361345755266E-6	6.373077062328986E-6	1.029572934978698E-6	2.7600169893052977E-6
O08677	4.2194156615880507E-7	1.2887312590920287E-6	8.985480369507558E-7	2.6336611457312887E-6	8.184565160941101E-7	1.3778631370396051E-6	1.3874078369342734E-6
O08691	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O08709	1.9262383422530793E-6	3.571378631391584E-6	2.1534221671884903E-6	3.5864780829287723E-6	2.712168621241737E-6	5.457754662427078E-6	7.128758468542747E-6
O08739	2.5924703302939583E-8	4.506781697504367E-8	4.264751235218126E-8	7.24504622140949E-8	3.980966746251478E-8	3.1468993009141903E-7	4.404474942890795E-8
