"","UniProt","median.K"
"272","P40189",0.054
"273","P40197",0.126
"274","P41218",0.2565
"275","P43121",0.032
"276","P43652",0.0905
"277","P46013",0.045
"278","P46531",0.08825
"279","P46940",0.058
"280","P48052",0.6635
"281","P48357",8053063.95
"282","P48740",0.183
"283","P49247",0.013
"284","P49588",4026532.0075
"285","P51884",0.014
"286","P52799",0.069
"287","P52907",0.044
"288","P53004",0.3605
"289","P53634",0.199
"290","P54289",0.11525
"291","P54802",0.10325
"292","P55056",0.2955
"293","P55072",0.107
"294","P55103",4026533.2295
"295","P55268",0.239
"296","P55774",0.24175
"297","P55795",0.1225
"298","P60174",0.05625
"299","P61106",0.153
"300","P61626",0.24825
"301","P61981",0.133
"302","P62805",0.1895
"303","P67936",0.05875
"304","P68871",0.02175
"305","P69905",0.0655
"306","P78504",0.065
"307","P80108",0.0925
"308","P80511",0.207
"309","P80723",0.0515
"310","P84103",0.205
"311","P98088",0.17
"312","P98160",0.0665
"313","Q01459",0.0805
"314","Q01518",0.09175
"315","Q02388",0.027
"316","Q02487",0.2035
"317","Q03167",0.13325
"318","Q03591",0.32425
"319","Q04721",0.0895
"320","Q04756",0.138
"321","Q04917",0.029
"322","Q05469",0.056
"323","Q06033",0.18475
"324","Q06830",0.06
"325","Q07075",0.014
"326","Q07954",0.1085
"327","Q08380",0.141
"328","Q08ET2",0.088
"329","Q12805",0.20975
"330","Q12860",0.0265
"331","Q12866",0.0495
"332","Q12905",0.216
"333","Q12913",0.0415
"334","Q13093",0.095
"335","Q13103",2013266.533
"336","Q13201",0.332
"337","Q13308",0.757
"338","Q14118",0.238
"339","Q14126",0.2725
"340","Q14314",0.3795
"341","Q14520",0.292
"342","Q14573",0.183
"343","Q14624",0.1755
"344","Q15113",0.1365
"345","Q15223",0.0915
"346","Q15361",0.109
"347","Q15365",10066329.87
"348","Q15404",0.126
"349","Q15485",0.204
"350","Q15828",0.2575
"351","Q15848",0.057
"352","Q15911",0.241
"353","Q16270",0.15
"354","Q16394",0.232
"355","Q16610",0.096
"356","Q16620",0.316
"357","Q16706",0.1875
"358","Q16827",0.0305
"359","Q16853",0.146
"360","Q3B726",0.074
"361","Q4LDE5",0.17
"362","Q562R1",0.054
"363","Q5D862",0.015
"364","Q5T749",0.0435
"365","Q5T985",0.217
"366","Q6EMK4",0.13
"367","Q6NSJ0",8053063.95
"368","Q6P179",0.128
"369","Q6P5Q4",0.054
"370","Q6Q788",0.155
"371","Q6UVK1",0.041
"372","Q6UWP8",0.188
"373","Q6UX71",0.04225
"374","Q6UXB8",0.12675
"375","Q6UY14",-0.023
"376","Q6YHK3",0.056
"377","Q76LX8",0.08425
"378","Q7Z7M0",0.08425
"379","Q7Z7M8",0.015
"380","Q86SQ4",16106127.63
"381","Q86U17",0.225
"382","Q86UD1",0.134
"383","Q86UN3",0.186
"384","Q86UX7",0.091
"385","Q86WI1",0.0905
"386","Q86XP3",0.095
"387","Q86YZ3",0.033
"388","Q8IWT3",0.069
"389","Q8IXL6",0.482
"390","Q8IYK8",2013266.5405
"391","Q8IYS5",0.119
"392","Q8N9M5",0.17
"393","Q8NAF0",0.122
"394","Q8NBJ4",4026532.1005
"395","Q8NBP7",0.22925
"396","Q8NCL4",0.0755
"397","Q8NDA2",0.033
"398","Q8TD26",0.6745
"399","Q8TDY8",0.029
"400","Q8TE59",0.042
"401","Q8WUJ3",0.082
"402","Q8WW12",0.092
"403","Q8WWZ8",0.084
"404","Q8WXG9",0.337
"405","Q8WXX0",0.115
"406","Q8WZ75",0.115
"407","Q92538",0.0475
"408","Q92797",0.207
"409","Q92820",0.52825
"410","Q92954",0.337
"411","Q96CN9",16106127.63
"412","Q96CX2",0.064
"413","Q96HD1",0.1355
"414","Q96IY4",0.2225
"415","Q96KG7",4026532.0425
"416","Q96KN2",0.2075
"417","Q96M86",0.08
"418","Q96PD5",0.1335
"419","Q96RW7",0.071
"420","Q96S96",0.1095
"421","Q99683",0.1255
"422","Q99805",0.132
"423","Q99969",2.8125
"424","Q99972",0.1105
"425","Q99983",0.0365
"426","Q9BS26",0.124
"427","Q9BSJ8",0.1
"428","Q9BTY2",0.14375
"429","Q9BUF5",0.037
"430","Q9BUN1",0.105
"431","Q9BWV1",2.001
"432","Q9BYJ0",0.084
"433","Q9H2A2",0.606
"434","Q9H2D6",0.156
"435","Q9H4A9",0.001
"436","Q9H4B7",0.147
"437","Q9H4G4",0.007
"438","Q9H7T9",0.06
"439","Q9H8L6",0.1155
"440","Q9HBB8",0.13
"441","Q9HBR0",0.053
"442","Q9HBW9",0.028
"443","Q9HCL0",0.154
"444","Q9HCR9",0.027
"445","Q9NPG4",4026533.0225
"446","Q9NPY3",0.059
"447","Q9NQ79",0.0495
"448","Q9NR99",0.278
"449","Q9NRN5",2013266.292
"450","Q9NS71",0.267
"451","Q9NS98",0.064
"452","Q9NY15",0.3085
"453","Q9NY97",4.38
"454","Q9NYU2",5033165.07
"455","Q9NZ08",0.14425
"456","Q9NZB8",0.088
"457","Q9NZP8",0.118
"458","Q9P232",0.121
"459","Q9P2D7",0.055
"460","Q9UBG0",0.029
"461","Q9UBR2",123.1855
"462","Q9UGM5",1.762
"463","Q9UGR2",0.083
"464","Q9UIB8",0.074
"465","Q9UJD7",0.107
"466","Q9UJJ9",0.51275
"467","Q9UKJ3",2013266.19
"468","Q9UKU6",0.153
"469","Q9ULI3",0.142
"470","Q9ULL0",0.07
"471","Q9ULL5",0.0745
"472","Q9UM47",0.1135
"473","Q9UN73",0.2925
"474","Q9UNN8",0.0945
"475","Q9UNW1",0.218
"476","Q9UQ13",0.037
"477","Q9UQP3",0.081
"478","Q9Y4D7",0.2095
"479","Q9Y4X4",0.157
"480","Q9Y5C1",0.23875
"481","Q9Y5Y7",0.05
"482","Q9Y646",0.12325
"483","Q9Y6R7",0.1355
"484","Q9Y6Z7",0.154
