"","x"
"598",1541
"599",1543
"600",1545
"601",1548
"602",1550
"603",1553
"604",1561
"605",1562
"606",1563
"607",1564
"608",1566
"609",1567
"610",1574
"611",1583
"612",1590
"613",1593
"614",1595
"615",1597
"616",1599
"617",1600
"618",1601
"619",1606
"620",1608
"621",1610
"622",1612
"623",1617
"624",1621
"625",1626
"626",1629
"627",1632
"628",1633
"629",1635
"630",1638
"631",1643
"632",1644
"633",1645
"634",1648
"635",1652
"636",1653
"637",1654
"638",1656
"639",1660
"640",1662
"641",1665
"642",1669
"643",1671
"644",1672
"645",1674
"646",1675
"647",1676
"648",1678
"649",1682
"650",1686
"651",1692
"652",1693
"653",1699
"654",1700
"655",1701
"656",1705
"657",1713
"658",1714
"659",1716
"660",1720
"661",1722
"662",1732
"663",1736
"664",1737
"665",1744
"666",1745
"667",1751
"668",1757
"669",1758
"670",1765
"671",1766
"672",1770
"673",1771
"674",1774
"675",1776
"676",1779
"677",1780
"678",1781
"679",1782
"680",1790
"681",1791
"682",1792
"683",1797
"684",1798
"685",1811
"686",1813
"687",1831
"688",1832
"689",1837
"690",1838
"691",1840
"692",1842
"693",1853
"694",1856
"695",1863
"696",1866
"697",1868
"698",1869
"699",1872
"700",1874
"701",1881
"702",1884
"703",1885
"704",1886
"705",1888
"706",1889
"707",1890
"708",1893
"709",1898
"710",1899
"711",1918
"712",1922
"713",1924
"714",1931
"715",1932
"716",1952
"717",1958
"718",1961
"719",1967
"720",1969
"721",1970
"722",1971
"723",1973
"724",1976
"725",1978
"726",1980
"727",1981
"728",1988
"729",1990
"730",1993
"731",1996
"732",1997
"733",1998
"734",2000
"735",2001
"736",2002
"737",2007
"738",2013
"739",2014
"740",2017
"741",2018
"742",2021
"743",2022
"744",2023
"745",2024
"746",2026
"747",2032
"748",2033
"749",2037
"750",2040
"751",2041
"752",2042
"753",2044
"754",2047
"755",2048
"756",2055
"757",2056
"758",2057
"759",2058
"760",2059
"761",2061
"762",2066
"763",2067
"764",2068
"765",2073
"766",2075
"767",2083
"768",2084
"769",2086
"770",2088
"771",2090
"772",2093
"773",2099
"774",2102
"775",2106
"776",2107
"777",2109
"778",2111
"779",2114
"780",2124
"781",2125
"782",2129
"783",2135
"784",2138
"785",2140
"786",2142
"787",2147
"788",2153
"789",2157
"790",2159
"791",2161
"792",2162
"793",2164
"794",2166
"795",2167
"796",2169
"797",2172
"798",2173
"799",2175
"800",2179
"801",2181
"802",2190
"803",2197
"804",2198
"805",2200
"806",2201
"807",2205
"808",2209
"809",2211
"810",2212
"811",2214
"812",2215
"813",2216
"814",2220
"815",2221
"816",2222
"817",2223
"818",2225
"819",2226
"820",2228
"821",2235
"822",2236
"823",2240
"824",2241
"825",2246
"826",2255
"827",2256
"828",2257
"829",2264
"830",2265
"831",2266
"832",2270
"833",2273
"834",2274
"835",2275
"836",2276
"837",2279
"838",2281
"839",2287
"840",2290
"841",2291
"842",2293
"843",2295
"844",2299
"845",2300
"846",2301
"847",2305
"848",2306
"849",2309
"850",2313
"851",2316
"852",2319
"853",2325
"854",2330
"855",2331
"856",2336
"857",2337
"858",2338
"859",2339
"860",2342
"861",2345
"862",2346
"863",2347
"864",2348
"865",2350
"866",2351
"867",2352
"868",2355
"869",2358
"870",2361
"871",2365
"872",2368
"873",2369
"874",2370
"875",2377
"876",2382
"877",2384
"878",2387
"879",2388
"880",2389
"881",2390
"882",2394
"883",2396
"884",2397
"885",2399
"886",2400
"887",2404
"888",2406
"889",2407
"890",2408
"891",2410
"892",2411
"893",2414
"894",2415
"895",2418
"896",2421
"897",2422
"898",2425
"899",2426
"900",2427
"901",2428
"902",2429
"903",2434
"904",2435
"905",2436
"906",2437
"907",2439
"908",2442
"909",2447
"910",2448
"911",2450
"912",2451
"913",2468
"914",2471
"915",2473
"916",2474
"917",2477
"918",2478
"919",2480
"920",2481
"921",2482
"922",2483
"923",2484
"924",2486
"925",2487
"926",2489
"927",2492
"928",2500
"929",2502
