C9JEX1	2.795174101987978E-7	6.7430446228241046E-6	5.797300351361472E-6	4.194956489433129E-6	2.0543583103688667E-6	7.3972008984989886E-6	1.7879053935665978E-5	1.0785141596758862E-5	1.3986420174663281E-5	8.663475442117303E-6
D6RAR4	1.832994662425925E-8	0.0	0.0	0.0	0.0	1.4860252428911006E-8	0.0	0.0	7.885901943181036E-8	6.436424298489957E-9
F8WAI1	5.7362197101929684E-9	0.0	0.0	0.0	0.0	0.0	2.4573034349642616E-8	0.0	0.0	1.4841149717952233E-8
O00533	1.5035485573439982E-6	9.729558772620108E-7	1.3194333793061536E-6	1.4167125986868153E-6	1.4655314071313714E-8	9.318606631180246E-7	1.716409642041267E-6	2.199678328594741E-6	2.892810483851533E-6	1.5183726452135693E-6
O14793	9.666477788079155E-9	2.710558093096624E-8	1.3044008726869399E-8	1.5413984471546345E-8	0.0	1.4559567091060898E-8	2.0452401592400797E-8	8.075039130932087E-9	9.083181952523892E-9	0.0
O15031	7.123618641941746E-8	7.861221720271556E-9	0.0	1.2612129088589127E-8	4.5938921783291433E-10	9.662382915607142E-9	7.016686995547633E-9	1.939602724263834E-8	9.801935733887289E-8	2.7320388240580012E-8
O15204	7.824166631369825E-8	0.0	0.0	2.9832779501222414E-9	3.157478176965817E-9	1.0779160662003136E-8	3.774876220234164E-8	2.4096920849417085E-8	4.36484870206449E-8	4.6944568065081647E-8
O75636	5.629979555827181E-6	5.482795909820943E-6	5.742620990742328E-6	5.773401613135243E-6	4.952385222812596E-7	7.796578535558503E-6	4.139754317201816E-6	3.341618147388964E-6	5.722898230607305E-6	5.73242813197285E-6
O95497	1.8101768972872276E-6	1.6376458848262715E-6	1.757310297571298E-6	1.425219617678934E-6	3.731868980318684E-7	1.2779940459700081E-6	1.061296464849417E-6	5.529117820332716E-6	5.907255387812161E-6	2.2245718969421657E-6
O95980	1.0663050199753588E-8	7.081917377138012E-8	5.4547130741256426E-8	7.2865315022649E-7	0.0	1.3578510589934592E-6	1.5585021493744936E-7	4.2404301476176684E-8	8.601019680871042E-7	5.2900892154424E-8
P00450	2.2973095577818343E-5	1.9123193722259676E-5	2.389758777173008E-5	2.508498628898076E-5	1.3605552950486736E-6	3.067261868645762E-5	1.4036610685202867E-5	9.812428212926833E-6	2.019693555468286E-5	1.5115635400037717E-5
P00747	3.065059299610618E-4	4.0425383215300436E-4	3.698258637876872E-4	3.8543559020133165E-4	3.8367742186008974E-5	4.230832924716305E-4	3.438390367264209E-4	4.5968853527531337E-4	3.9577160681642366E-4	4.4067836908021535E-4
P00748	3.0450635038265054E-5	2.9284134468723804E-5	3.378394822955596E-5	3.3584376151012135E-5	5.97691731414802E-6	4.390513183199051E-5	4.124963940682264E-5	3.616313766684185E-5	3.5194398420475975E-5	3.6256036919308715E-5
P01008	2.7322233312061887E-4	2.634965458508275E-4	2.8310297474347607E-4	2.2943038401223868E-4	2.6258735547187088E-5	2.63383729118845E-4	3.25863989707188E-4	3.0652356137648404E-4	3.468897318758438E-4	3.501094185012824E-4
P01019	4.0644690515235295E-5	4.790734191003882E-5	5.177069380161902E-5	6.271740818058016E-5	5.912966392585012E-6	7.66518309485861E-5	7.256881449175841E-5	8.277384857898176E-5	8.349730671121258E-5	7.890388625805878E-5
P01023	2.1274845049851258E-5	2.105876500499824E-5	1.846456329183987E-5	2.3891059507900725E-5	4.108628130537671E-5	3.924867274041512E-5	7.679994398588353E-5	8.451335926392314E-5	3.589061269883661E-5	3.999362015453905E-5
P01024	6.643050146430751E-5	1.0821246640010397E-5	1.342746046600312E-5	2.577797788775624E-5	2.7088660306313027E-5	2.9035539187630012E-5	4.045492318945628E-5	2.6663967805256727E-5	1.971740589746548E-5	1.499173900220296E-5
P01031	1.536934492175839E-4	1.6392297825948345E-4	1.7048483708415776E-4	1.6218461838754273E-4	1.8657025184603946E-5	1.8532851896613408E-4	1.475456316808797E-4	1.516273425421481E-4	1.4828398099844275E-4	1.5067679037548284E-4
P01834	1.475969163737362E-7	1.6657881683434995E-7	6.851110748399847E-8	1.7987770301049508E-7	4.379919176475887E-6	9.99128584046866E-8	3.0964497774505903E-6	5.16377326642782E-6	3.157464533047136E-7	2.4321616081129273E-7
P02652	1.7605166999191468E-5	1.875814628034017E-5	1.3148632262168792E-5	3.098597088482331E-5	2.1603886656069085E-5	1.6795939556247126E-5	1.4381955074767696E-5	1.3674329152630648E-5	1.5107353958394817E-5	1.3848393042974342E-5
P02671	7.217429108266469E-5	6.344512147800175E-6	3.5270675669340643E-6	5.850200130596441E-6	2.1072570225719546E-5	5.7286722225901415E-6	2.513965442100811E-4	2.3106913479196888E-4	8.986209810231419E-6	4.978820586098931E-6
P02743	5.202325242165118E-5	5.857578120933545E-5	6.156416462676022E-5	4.0612229097547184E-5	8.45892755907345E-7	5.178141320636855E-5	6.787374292584672E-5	6.549607126972008E-5	6.0846214990613155E-5	8.031160942433246E-5
P02745	1.6942690375667324E-5	1.907768147042115E-5	1.8278724312716084E-5	2.1382064532099746E-5	1.3703992349469225E-6	2.6040374963251693E-5	2.001342301597705E-5	2.1459671086683503E-5	1.7617879237761507E-5	2.0812749342311068E-5
P02747	3.38709553643377E-5	4.4879478255751084E-5	4.610989526711453E-5	3.193198123762518E-5	1.3598902203471173E-6	5.439838800298935E-5	5.259630461908281E-5	4.866897911598056E-5	4.479669540978597E-5	6.284412849091799E-5
P02748	9.315269502142903E-5	7.913860851870992E-5	5.793921662651268E-5	6.97943102296481E-5	1.056013133092724E-5	9.638597626967008E-5	1.0427303535781511E-4	8.23239173845135E-5	1.0196876091649874E-4	1.2073865764522484E-4
P02750	5.500065417440689E-5	3.851466397162504E-5	4.019648822317214E-5	4.5150410425046894E-5	2.5022065148141875E-7	2.6870650160709936E-5	3.289811944863414E-5	2.8879378891010688E-5	4.464451239994065E-5	3.4222480956833996E-5
P02760	9.488708933504376E-5	7.568497959736007E-5	7.740193791888859E-5	4.822606003303938E-5	6.062057004426323E-6	6.7228531370232E-5	9.464302349821993E-5	9.579849355539697E-5	8.848661721554028E-5	9.640778563218804E-5
P02765	6.871350620005144E-7	9.63479441178191E-7	1.2177168218320334E-6	1.0825102063159685E-6	3.161543550547944E-8	2.1146992983035885E-6	3.2083856178732996E-7	9.436833173613749E-7	8.757936742455188E-7	1.0449044399866202E-6
P02775	1.3771202524754175E-6	6.276301584888262E-7	7.372902273280798E-7	2.4836144656519923E-6	7.354891925454508E-8	5.538978083209029E-7	3.668142680143108E-7	1.4171948876699894E-7	4.371171477015791E-7	3.614036288306027E-7
P02790	0.0016433722382434505	0.0014804349875751734	0.0018670574159328143	0.0019349071959030484	1.5342399309121524E-4	0.0018648659199824713	0.0012979278717590765	0.0014822627331045816	0.001409581947965543	0.0011583623216522218
P04003	7.15269574081432E-5	6.456425206522457E-5	7.186699322403717E-5	8.011560691256757E-5	9.905142208631856E-6	9.200730218218912E-5	1.287867789728388E-4	1.462664959119648E-4	1.1869486866746596E-4	1.1157454215605235E-4
