ID,t,A0,notFoundBySE
5,0.0,0.401665,
5,1.0,0.400463,
5,3.0,0.373515,
5,5.0,0.350075,
5,7.0,,
5,10.0,,
5,14.0,0.269062,
7,0.0,0.237921,
7,1.0,0.184979,
7,3.0,0.214188,
7,5.0,0.152982,
7,7.0,,
7,10.0,0.149036,
7,14.0,,
8,0.0,0.227418,
8,1.0,,
8,3.0,0.194733,
8,5.0,0.147535,
8,7.0,0.198504,
8,10.0,,
8,14.0,0.128647,
15,0.0,0.302082,
15,1.0,0.432432,
15,3.0,,
15,5.0,0.303522,
15,7.0,0.283402,
15,10.0,,
15,14.0,0.185483,
17,0.0,0.493206,
17,1.0,,
17,3.0,,
17,5.0,0.401943,
17,7.0,0.433527,
17,10.0,0.410047,
17,14.0,0.373429,
18,0.0,0.373848,
18,1.0,0.145373,
18,3.0,0.571024,
18,5.0,0.538196,
18,7.0,0.469442,
18,10.0,,
18,14.0,,
21,0.0,0.525339,
21,1.0,,
21,3.0,,
21,5.0,0.486092,
21,7.0,0.389793,
21,10.0,0.390967,
21,14.0,0.334614,
22,0.0,,
22,1.0,0.253899,
22,3.0,0.490257,
22,5.0,0.464698,
22,7.0,,
22,10.0,0.431137,
22,14.0,0.248656,
29,0.0,0.371361,
29,1.0,0.434025,
29,3.0,0.30758,
29,5.0,0.278734,
29,7.0,,
29,10.0,0.241333,
29,14.0,,
34,0.0,0.335306,
34,1.0,,
34,3.0,0.272783,
34,5.0,0.24294,
34,7.0,0.235257,
34,10.0,0.202064,
34,14.0,,
36,0.0,0.560796,
36,1.0,0.539389,
36,3.0,0.516064,
36,5.0,0.506067,
36,7.0,0.493772,
36,10.0,,
36,14.0,,
37,0.0,0.342439,
37,1.0,0.320515,
37,3.0,0.27543,
37,5.0,0.246675,
37,7.0,,
37,10.0,,
37,14.0,0.182172,
39,0.0,0.500293,
39,1.0,0.997027,
39,3.0,0.470571,
39,5.0,0.443481,
39,7.0,0.43802,
39,10.0,,
39,14.0,,
45,0.0,0.501747,
45,1.0,0.47831,
45,3.0,0.430127,
45,5.0,0.398151,
45,7.0,,
45,10.0,,
45,14.0,0.304878,
47,0.0,0.446387,
47,1.0,0.440698,
47,3.0,0.412977,
47,5.0,,
47,7.0,0.306318,
47,10.0,,
47,14.0,0.311421,
49,0.0,,
49,1.0,0.387442,
49,3.0,0.331057,
49,5.0,0.320689,
49,7.0,0.307855,
49,10.0,0.177343,
49,14.0,,
50,0.0,0.653827,
50,1.0,,
50,3.0,0.533246,
50,5.0,,
50,7.0,0.491147,
50,10.0,0.497028,
50,14.0,0.428938,
52,0.0,0.428846,
52,1.0,0.433992,
52,3.0,0.401471,
52,5.0,0.35608,
52,7.0,,
52,10.0,,
52,14.0,0.253541,
53,0.0,,
53,1.0,0.29128,
53,3.0,0.253958,
53,5.0,0.222808,
53,7.0,,
53,10.0,0.184872,
53,14.0,0.147888,
54,0.0,0.25477,
54,1.0,0.40775,
54,3.0,0.362408,
54,5.0,,
54,7.0,0.394457,
54,10.0,,
54,14.0,0.248326,
55,0.0,0.322986,
55,1.0,0.307421,
55,3.0,0.254993,
55,5.0,0.240321,
55,7.0,,
55,10.0,,
55,14.0,0.142017,
57,0.0,0.193168,
57,1.0,,
57,3.0,0.178625,
57,5.0,0.157304,
57,7.0,0.113688,
57,10.0,0.130629,
57,14.0,,
59,0.0,0.384695,
59,1.0,0.356694,
59,3.0,,
59,5.0,0.296832,
59,7.0,,
59,10.0,0.248071,
59,14.0,0.205689,
60,0.0,0.544739,
60,1.0,,
60,3.0,0.560384,
60,5.0,,
60,7.0,0.529759,
60,10.0,0.497142,
60,14.0,0.473706,
61,0.0,0.375219,
61,1.0,0.387062,
61,3.0,,
61,5.0,0.301872,
61,7.0,0.271089,
61,10.0,0.244517,
61,14.0,,
62,0.0,0.471618,
62,1.0,0.41452,
62,3.0,0.39956,
62,5.0,,
62,7.0,0.229921,
62,10.0,,
62,14.0,0.372387,
63,0.0,0.42816,
63,1.0,0.40742,
63,3.0,,
63,5.0,,
63,7.0,0.317003,
63,10.0,0.298467,
63,14.0,0.242175,
68,0.0,,
68,1.0,0.304619,
68,3.0,0.174304,
68,5.0,0.280734,
68,7.0,,
68,10.0,0.140543,
68,14.0,0.0952887,
74,0.0,0.379185,
74,1.0,0.303943,
74,3.0,0.195229,
74,5.0,,
74,7.0,0.124477,
74,10.0,,
74,14.0,0.105204,
75,0.0,0.481486,
75,1.0,,
75,3.0,0.242325,
75,5.0,0.215216,
75,7.0,,
75,10.0,0.144883,
75,14.0,0.122543,
78,0.0,0.383451,
78,1.0,0.328195,
78,3.0,0.188372,
78,5.0,0.172735,
78,7.0,,
78,10.0,0.109112,
78,14.0,,
82,0.0,0.372323,
82,1.0,,
82,3.0,0.161988,
82,5.0,,
82,7.0,0.0982387,
82,10.0,0.226127,
82,14.0,0.0692341,
83,0.0,0.384143,
83,1.0,0.384332,
83,3.0,0.264078,
83,5.0,0.223292,
83,7.0,,
83,10.0,,
83,14.0,0.18124,
87,0.0,0.293331,
87,1.0,0.306714,
87,3.0,0.0820385,
87,5.0,0.41036,
87,7.0,,
87,10.0,0.370414,
87,14.0,,
98,0.0,0.569023,
98,1.0,0.466153,
98,3.0,0.399057,
98,5.0,0.311947,
98,7.0,,
98,10.0,0.273268,
98,14.0,,
99,0.0,0.463422,
99,1.0,,
99,3.0,0.23051,
99,5.0,0.155744,
99,7.0,0.179844,
99,10.0,0.12487,
99,14.0,,
101,0.0,0.341397,
101,1.0,,
101,3.0,0.170413,
101,5.0,0.179725,
101,7.0,0.15396,
101,10.0,,
101,14.0,0.254467,
102,0.0,0.348926,
102,1.0,,
102,3.0,0.213908,
102,5.0,0.167073,
102,7.0,,
102,10.0,0.159759,
102,14.0,0.124131,
103,0.0,0.459932,
103,1.0,0.374888,
103,3.0,0.238641,
103,5.0,,
103,7.0,0.171902,
103,10.0,,
103,14.0,0.167163,
106,0.0,0.593865,
106,1.0,0.558433,
106,3.0,0.481534,
106,5.0,,
106,7.0,,
106,10.0,0.404,
106,14.0,0.680853,
108,0.0,0.602807,
108,1.0,,
108,3.0,0.353571,
108,5.0,0.290894,
108,7.0,0.279513,
108,10.0,,
108,14.0,0.230138,
112,0.0,,
112,1.0,0.375523,
112,3.0,0.479262,
112,5.0,0.14446,
112,7.0,,
112,10.0,0.0793026,
112,14.0,0.573256,
118,0.0,,
118,1.0,0.473457,
118,3.0,0.423799,
118,5.0,,
118,7.0,0.270203,
118,10.0,0.282845,
118,14.0,0.220307,
124,0.0,,
124,1.0,0.290788,
124,3.0,0.211714,
124,5.0,,
124,7.0,0.120708,
124,10.0,0.0882283,
124,14.0,0.0746527,
129,0.0,0.411188,
129,1.0,0.207518,
129,3.0,,
129,5.0,,
129,7.0,0.125952,
129,10.0,0.332738,
129,14.0,0.0779406,
132,0.0,0.470698,
132,1.0,,
132,3.0,0.258164,
132,5.0,0.258828,
132,7.0,,
132,10.0,0.225095,
132,14.0,0.200905,
133,0.0,0.541409,
133,1.0,0.45377,
133,3.0,,
133,5.0,0.363432,
133,7.0,0.385753,
133,10.0,0.291647,
133,14.0,,
134,0.0,0.303006,
134,1.0,0.410866,
134,3.0,,
134,5.0,0.244492,
134,7.0,0.333204,
134,10.0,,
134,14.0,0.184213,
