UniProt,median.K
P17182,0.04545
P17225,0.196333333
P17426,0.1584
P17427,0.14995
P17563,0.054666667
P17710,0.05045
P17742,0.0989
P17751,0.06795
P18052,0.23
P18242,0.293055556
P18572,0.1557
P18654,0.131166667
P18760,0.2268
P18826,0.178
P18872,0.595833333
P19001,0.179666667
P19096,0.32625
P19123,0.1012
P19157,0.392
P19221,1.046428571
P19253,0.412
P19258,0.1185
P19324,0.52205
P19536,0.0645
P19783,0.03745
P20029,0.1486
P20108,0.0336
P20152,0.10745
P20918,1.071166667
P21126,0.3443
P21279,0.113
P21300,0.072
P21447,0.23925
P21460,1.7012
P21550,0.0697
P21614,1.87555
P21619,0.217333333
P21956,0.748333333
P21981,0.08765
P22315,0.1406875
P22892,0.298
P22907,0.17275
P23116,0.25685
P23198,0.32475
P23242,0.0873
P23492,0.109428571
P23506,0.066
P23591,0.088
P23927,0.2163
P23953,0.54285
P24270,0.3163
P24369,0.1247
P24452,0.17
P24472,0.059
P24527,0.0722
P24547,0.1965
P24549,0.114
P24788,0.329
P25444,0.07965
P26039,0.15755
P26040,0.701
P26041,0.10895
P26043,0.171
P26231,0.3518
P26262,0.6045
P26369,0.1119
P26443,0.03785
P26516,0.24625
P26638,0.20925
P26883,0.0771
P27546,0.1714
P27577,0.127666667
P27612,0.130125
P27659,0.1908
P27773,0.1609
P28063,0.464
P28076,0.159
P28271,0.09645
P28352,0.224
P28474,0.107
P28481,0.037
P28650,0.1144
P28652,0.3385
P28653,0.36405
P28654,0.2418
P28658,0.963875
P28659,0.359714286
P28660,0.266
P28665,0.3679
P28798,0.17175
P29268,0.28625
P29341,0.1065
P29595,0.306
P29699,0.889375
P29758,0.2111
P30115,0.1475
P30416,0.18495
P30999,0.3504
P31001,0.11985
P31230,0.135857143
P31428,0.12065
P31532,0.2925
P31750,0.24725
P31938,24.78155
P32020,0.48775
P32067,0.247
P32233,0.342333333
P32261,1.60035
P32921,0.105583333
P33622,1.4279
P34022,0.096
P34152,1.102333333
P34884,0.06355
P34914,0.096
P34928,2.231
P35123,0.616916667
P35235,0.162142857
P35278,0.144
P35282,0.8555
P35283,0.2665
P35293,0.810333333
P35385,1.4289
P35441,0.5578
P35486,0.03645
P35505,0.058357143
P35550,0.141
P35564,0.13375
P35585,0.151125
P35700,0.1013
P35762,0.18425
P35821,0.086
P35831,0.161
P35979,0.077666667
P35980,0.07225
P36916,0.223333333
P36993,0.279
P37040,1.0145
P37804,0.078
P37889,0.381
P38060,0.07805
P38647,0.09945
P39054,0.19075
P39061,0.0585
P39447,0.396333333
P40124,0.1576
P40142,0.067
P40336,0.1466
P40630,0.03545
P40753,0.066
P41216,0.05105
P42125,0.03925
P42208,0.2134
P42225,0.33925
P42227,0.81395
P42567,0.193333333
P42669,0.07285
P42703,0.79275
P42859,0.2765
P42932,0.23365
P43023,0.06405
P43024,0.0359375
P43025,0.572
P43883,0.33955
P45376,0.055
P45591,0.1053
P45952,0.0541
P46061,0.584
P46412,0.163285714
P46460,0.067166667
P46467,0.221
P46471,0.1574
P46638,0.15795
P46656,0.285
P46664,0.44
P46735,0.63125
P46737,0.295
P46935,0.346222222
P46938,0.258
P47199,0.071416667
P47738,0.11685
P47753,0.426
P47754,0.094
P47757,0.11
P47758,0.27375
P47809,0.12975
P47811,0.27675
P47857,0.154
P47911,0.0925
P47915,0.09
P47934,0.0365
P47941,0.11865
P47955,0.208
P47962,0.1292
P47963,0.049666667
P48036,0.0952
P48193,0.0892
P48410,0.123
P48428,0.1825
P48678,0.0502
P48722,0.24125
P48725,0.219
P48758,0.0745
P48771,0.1025
P48772,0.05
P48774,0.134
P48787,0.1305
P48962,0.03765
P49138,0.4172
P49182,4.1159
P49312,0.282
P49442,0.112
P49443,0.1707
P49615,0.1079
P49722,0.12405
P49813,0.15385
P49817,0.07265
P50136,0.1315
P50171,0.04
P50247,0.0395
P50285,3.68125
P50396,0.07825
P50431,0.185928571
P50462,0.0812
P50516,0.1314375
P50518,0.249428571
P50543,0.158
P50544,0.06265
P50580,0.1545
P50752,0.13515
P51125,0.2104375
P51150,0.3623
P51163,0.24
P51174,0.03585
P51175,0.095
P51410,0.081666667
P51655,0.485666667
P51660,0.1965
P51667,0.06135
P51855,0.0449
P51863,0.168
P51881,0.03765
P51885,0.0628
P51910,3.739
P52196,0.05285
P52293,2.175
P52430,0.361666667
P52480,0.0993
P52503,0.0741
P52825,0.056
P53026,0.0724
P53395,0.0622
P53612,0.16
P53702,0.1342
P53811,0.098
P53994,0.19675
P53996,0.2955
P54071,0.0353
P54227,0.5384
P54310,0.219642857
P54320,0.126
P54728,0.149
P54729,1.2
P54731,1.541
P54775,0.1338
P54797,0.08695
P54822,0.09135
P54823,0.147
P54869,0.909
P54923,0.1335
P55002,0.1285
P55096,0.485333333
P55264,0.1079
P55284,3.0605
P55292,0.06905
P55302,0.3975
P55772,0.0575
P55937,0.112666667
P56135,0.023
P56212,0.071
P56213,0.2045
P56375,0.714666667
P56376,0.0972
P56387,0.253166667
P56391,0.0423
P56392,0.054
P56394,0.195857143
P56395,0.194
P56399,0.1895625
P56480,0.0449
P56501,0.0947
P56565,0.17845
P56695,0.726666667
P56812,0.15295
P56873,1.2016
P56959,0.41125
P57080,0.371
P57746,0.55
P57759,0.16975
P57776,0.1501
P57780,0.15935
P57784,0.0925
P58021,0.196166667
P58064,0.1195
P58137,0.156428571
P58252,0.1227
P58281,0.0575
P58389,0.079666667
P58771,0.09015
P58774,0.1071
P59016,0.180333333
P59017,0.117
P59041,0.244833333
P59266,0.202
P59325,0.235916667
P59708,0.655
P59999,0.053
P60122,0.694285714
P60229,0.219833333
P60335,0.3861
P60603,0.061
P60670,0.267916667
P60766,0.172
P60843,0.28625
P60867,0.083
P61014,0.145
P61022,0.78575
P61027,0.872
P61080,0.188285714
P61082,0.1873
P61087,0.156
P61089,0.128666667
P61148,0.25025
P61161,0.1287
P61164,0.1625
P61202,0.1235
P61211,0.219
P61222,0.14695
P61255,0.046
P61290,0.858
P61358,0.06335
P61514,0.077583333
P61759,0.221111111
P61922,0.10025
P61924,0.107
P61963,0.372
P61971,0.080666667
P61979,0.20955
P61982,0.111625
P62073,0.1185
P62075,0.059333333
P62077,1.598
P62082,0.097428571
P62141,0.172
P62192,0.297444444
P62196,0.213111111
P62204,0.1501
P62242,0.0984
P62245,0.076
P62254,0.8302
P62257,0.147
P62259,0.0877
P62264,0.09795
P62267,0.0571
P62270,0.075
P62274,0.0767
P62281,0.06315
P62301,0.295
P62315,0.070428571
P62334,0.1774
P62342,0.1755
P62627,0.239
P62631,0.10745
P62702,0.0952
P62717,0.089
P62743,0.062
P62746,0.9238
P62748,0.146
P62754,0.110277778
P62774,0.127055556
P62806,0.01085
P62814,0.2696875
P62821,0.16245
P62827,0.1295
P62830,0.08875
P62843,0.185
P62849,0.0895
P62852,0.0775
P62858,0.10475
P62869,0.22975
P62874,0.168
P62880,0.09705
P62889,0.1
P62892,0.128
P62897,0.028
P62908,0.10335
P62911,0.0525
P62918,0.098642857
P62932,0.165333333
P62960,0.1252
P62962,0.091
P62983,0.097
P63001,0.12245
P63005,0.2891
P63011,0.199
P63017,0.1142
P63028,0.207125
P63030,0.04795
P63038,0.0369
P63085,0.101
P63087,0.7785
P63101,0.1144
P63147,0.2396
P63158,0.2412
P63168,0.07
P63242,0.148
P63248,0.42525
P63276,0.08855
P63280,0.928857143
P63323,0.07
P63328,0.1290625
P67778,0.084
P67871,0.187
P67984,0.083666667
P68033,1.713333333
P68037,0.1375
P68040,0.1109
P68134,0.014
P68181,0.396333333
P68254,0.177611111
P68368,0.2343125
P68372,0.055
P68510,0.258833333
P70168,0.13375
P70170,0.238
P70180,0.7665
P70195,0.206333333
P70202,0.2325
P70261,0.247
P70265,1.25
P70271,0.168
P70274,1.509
P70288,0.1875
P70296,0.06285
P70302,0.2275
P70313,0.14575
P70333,0.261
P70336,0.2476875
P70349,0.07095
P70362,0.3867
P70372,0.2384
P70398,0.327
P70404,0.0596
P70414,0.15925
P70452,1.554
P70460,0.241333333
P70663,1.063416667
P70670,0.1744
P70695,0.103
P70697,0.106
P70698,0.31665
P70699,0.552571429
P70704,0.1901
P80313,0.1864
P80314,0.184388889
P80315,0.206055556
P80316,0.1763
P80317,0.8313
P80318,0.1845
P82198,0.161
P82348,0.19175
P82350,0.06365
P83882,0.089
P84091,0.13935
P84099,0.11
P84104,0.075
P85094,0.046142857
P97290,1.114
P97315,0.1175
P97328,0.129
P97333,0.2614
P97346,0.9875
P97351,0.091666667
P97352,0.1235
P97370,0.099714286
P97371,0.131
P97372,0.133
P97379,0.296
P97384,0.1895
P97429,0.10495
P97443,0.08155
P97447,0.112357143
P97449,0.1414
P97450,0.0477
P97467,0.72485
P97478,0.04545
P97493,0.1878
P97494,0.1055
P97742,0.097
P97765,0.211
P97807,0.0423
P97821,0.2419
P97822,0.523
P97823,0.051
P97825,0.193
P97855,0.365
P97873,0.086
P97927,0.082
P97930,0.083
P98078,0.257
P98083,0.274
P98156,0.315
P98192,0.6868
P98203,0.70575
P99024,0.095
P99026,0.079
P99027,0.11555
P99028,0.281333333
P99029,0.04405
Q00493,0.9595
Q00519,0.141555556
Q00612,0.1244
Q00623,1.2238
Q00898,1.379
Q00915,0.1124
Q00PI9,0.116333333
Q01279,0.4904
Q01339,1.2481
Q01405,0.1657
Q01730,0.05335
Q01768,0.09115
Q01853,0.1875
Q02053,0.13005
Q02248,0.11935
Q02257,0.09055
Q02566,0.07125
Q02788,0.04875
Q02819,0.330333333
Q03249,0.049
Q03265,0.0508
Q03958,0.285125
Q04447,0.0994
Q04857,0.05905
Q05186,0.1875
Q05793,0.0772
Q05816,0.0803
Q05920,0.116428571
Q05BC3,0.1353125
Q05CL8,0.205666667
Q05D44,0.496666667
Q06138,0.2665
Q06185,0.015
Q06770,0.8705
Q06890,1.87085
Q07076,0.111833333
Q07113,3.465666667
Q07417,0.03575
Q07456,1.165
Q08091,0.609
Q08481,0.49225
Q08857,0.128
Q08879,0.2474
Q0II04,0.04025
Q11011,0.0726
Q11136,0.123666667
Q149B8,0.1
Q14AI6,0.393833333
Q14C51,0.07725
Q14CH7,0.251714286
Q1ERP8,2.509
Q1XH17,0.1027
Q2NL51,0.27
Q2TPA8,0.06565
Q30D77,0.128
Q3B7Z2,0.41615
Q3KNM2,0.314
Q3TBW2,0.079
Q3TC93,0.158625
Q3TCH7,0.361888889
Q3TCJ1,0.099
Q3TCN2,0.3928
Q3TDQ1,0.178
Q3TEA8,0.126
Q3THG9,0.287
Q3THK7,0.93145
Q3THS6,0.570166667
Q3TIU4,0.31075
Q3TJD7,0.09
Q3TJZ6,0.1904375
Q3TL26,0.363611111
Q3TLI0,0.325
Q3TLP5,0.0522
Q3TMH2,0.0967
Q3TMP8,0.12785
Q3TPE9,0.894
Q3TVI8,0.560833333
Q3TWI9,0.179
Q3TXS7,0.163166667
Q3TZ89,0.103
Q3TZZ7,0.175666667
Q3U0B3,0.117777778
Q3U0M1,0.2385
Q3U0S6,0.151875
Q3U0V1,0.17325
Q3U186,0.149
Q3U1J4,0.26345
Q3U213,0.0875
Q3U2A8,0.132
Q3U308,0.2526
Q3U4I7,0.1275
Q3U5Q7,0.221
Q3U7R1,0.13125
Q3U9G9,0.1195
Q3UDE2,0.0791875
Q3UE37,0.154
Q3UFY8,0.0505
Q3UGR5,0.08745
Q3UH60,0.19275
Q3UH68,0.259166667
Q3UHB1,0.1786
Q3UHX2,0.174
Q3UHZ5,0.9478
Q3UIJ9,1.4827
Q3UIU2,0.03395
Q3UIZ8,0.36715
Q3UJB3,1.7976
Q3UJB9,0.935
Q3UJD6,0.252
Q3UJU9,0.096125
Q3UKJ7,0.3645
Q3ULD5,0.04885
Q3ULF4,0.094666667
Q3ULJ0,0.06995
Q3UM45,0.1073
Q3UMF0,0.2168
Q3UN02,0.1485
Q3UPL0,0.2243
Q3UQ28,2.31
Q3UQ84,0.092
Q3URD3,0.1469
Q3URE1,0.0785
Q3URS9,0.042333333
