"","x"
"594",1783
"595",1784
"596",1785
"597",1786
"598",1789
"599",1791
"600",1792
"601",1797
"602",1798
"603",1802
"604",1804
"605",1805
"606",1807
"607",1808
"608",1809
"609",1812
"610",1813
"611",1814
"612",1815
"613",1817
"614",1819
"615",1829
"616",1835
"617",1836
"618",1840
"619",1846
"620",1853
"621",1854
"622",1855
"623",1856
"624",1857
"625",1859
"626",1861
"627",1862
"628",1863
"629",1872
"630",1877
"631",1886
"632",1891
"633",1892
"634",1898
"635",1900
"636",1902
"637",1904
"638",1910
"639",1913
"640",1922
"641",1926
"642",1927
"643",1930
"644",1937
"645",1940
"646",1945
"647",1946
"648",1951
"649",1952
"650",1953
"651",1954
"652",1956
"653",1957
"654",1958
"655",1959
"656",1963
"657",1964
"658",1965
"659",1968
"660",1970
"661",1971
"662",1979
"663",1985
"664",1986
"665",1987
"666",1997
"667",1998
"668",1999
"669",2000
"670",2001
"671",2004
"672",2005
"673",2006
"674",2007
"675",2008
"676",2011
"677",2023
"678",2024
"679",2026
"680",2031
"681",2032
"682",2035
"683",2040
"684",2044
"685",2046
"686",2054
"687",2063
"688",2067
"689",2069
"690",2070
"691",2075
"692",2081
"693",2083
"694",2084
"695",2086
"696",2087
"697",2090
"698",2096
"699",2100
"700",2101
"701",2117
"702",2123
"703",2133
"704",2135
"705",2138
"706",2140
"707",2141
"708",2142
"709",2145
"710",2146
"711",2148
"712",2150
"713",2153
"714",2156
"715",2159
"716",2160
"717",2161
"718",2164
"719",2165
"720",2167
"721",2174
"722",2177
"723",2178
"724",2179
"725",2180
"726",2181
"727",2183
"728",2184
"729",2185
"730",2186
"731",2187
"732",2188
"733",2190
"734",2194
"735",2195
"736",2196
"737",2198
"738",2199
"739",2200
"740",2202
"741",2203
"742",2205
"743",2206
"744",2211
"745",2212
"746",2213
"747",2215
"748",2216
"749",2218
"750",2220
"751",2222
"752",2224
"753",2227
"754",2228
"755",2232
"756",2235
"757",2236
"758",2237
"759",2238
"760",2239
"761",2242
"762",2243
"763",2245
"764",2247
"765",2248
"766",2249
"767",2250
"768",2252
"769",2254
"770",2260
"771",2261
"772",2264
"773",2269
"774",2271
"775",2274
"776",2275
"777",2277
"778",2278
"779",2289
"780",2290
"781",2293
"782",2297
"783",2298
"784",2300
"785",2305
"786",2317
"787",2324
"788",2325
"789",2334
"790",2345
"791",2361
"792",2363
"793",2373
"794",2377
"795",2378
"796",2380
"797",2382
"798",2384
"799",2385
"800",2388
"801",2390
