UniProt,median.K
P14602,0.1531
P14685,0.2012
P14733,0.066428571
P14824,0.0816
P14869,0.08545
P15105,0.4846
P15116,0.07955
P15306,0.737
P15327,0.1075
P15508,0.13285
P15532,0.220888889
P15626,0.1461
P15864,0.091
P16015,0.1778
P16045,0.0824
P16125,0.10585
P16301,1.811
P16330,0.16
P16332,0.13435
P16406,0.11875
P16460,0.401625
P16546,0.0834
P16627,0.171285714
P16675,0.3472
P16858,0.0795
P17047,0.51635
P17095,0.0865
P17156,0.0792
P17182,0.0763
P17183,0.4345
P17225,0.134277778
P17426,0.23875
P17427,0.231625
P17563,0.071
P17710,0.0454
P17742,0.1133
P17751,0.06335
P17918,0.943
P18242,0.28175
P18572,0.1352
P18654,0.231
P18760,0.22405
P18826,0.616722222
P18872,0.1425
P19001,0.395
P19096,0.36525
P19123,0.0856
P19157,0.046
P19221,1.14925
P19246,1.035
P19253,0.155
P19258,0.045777778
P19324,0.32485
P19536,0.0305
P19783,0.04045
P19973,0.123
P20029,0.1684
P20060,3.4115
P20065,0.17675
P20108,0.0421
P20152,0.14995
P20918,1.28825
P21107,0.0779375
P21126,0.5734375
P21278,0.2004
P21279,0.138
P21550,0.0611
P21614,1.0491
P21956,0.228277778
P21981,0.0879
P22315,0.08335
P22366,0.412
P22599,0.306666667
P22892,0.187714286
P22907,0.2370625
P23116,0.3072
P23198,0.2491
P23242,0.082
P23492,0.1036
P23506,0.1242
P23591,0.18015
P23780,0.27975
P23927,0.1863
P23953,0.5786
P24270,0.25855
P24369,0.12495
P24452,0.11075
P24472,0.06875
P24527,0.083722222
P24529,0.12075
P24547,0.22665
P24549,0.165
P25444,0.09935
P25688,0.060666667
P25799,0.37575
P26039,0.22295
P26040,0.161111111
P26041,0.11635
P26043,0.2339
P26231,0.3984
P26262,0.3185
P26350,0.155666667
P26443,0.048
P26516,0.1269375
P26638,0.22755
P26645,0.303625
P26883,0.103
P27546,0.2302
P27573,0.103
P27601,0.154
P27612,0.1407
P27659,0.08195
P27773,0.1623
P28063,0.2248
P28076,0.812666667
P28271,0.07805
P28352,0.3806
P28474,0.0735
P28650,0.12955
P28653,1.28455
P28654,0.314571429
P28656,0.345166667
P28658,0.986714286
P28665,0.34605
P28798,0.32435
P28828,0.212
P28843,0.218333333
P29268,0.46075
P29341,0.15465
P29387,0.139666667
P29595,0.154333333
P29699,1.055583333
P29758,0.2487
P29788,1.3508
P30115,0.111
P30275,1.088
P30416,0.3275
P30681,0.097333333
P30999,0.087
P31001,0.1115
P31230,0.187555556
P31428,0.16285
P31532,0.889722222
P31750,0.3565
P31786,0.0686
P31809,0.068
P31938,0.244125
P32020,0.1783
P32067,0.344666667
P32233,0.6586
P32261,1.1455
P32921,0.10715
P33622,0.97565
P34022,0.1025
P34884,0.0677
P34914,0.0942
P34928,2.055
P35123,0.320166667
P35235,0.1626
P35278,0.2275
P35282,0.218
P35283,0.25035
P35285,0.1015
P35290,0.224
P35293,0.33865
P35385,0.962111111
P35441,0.227916667
P35486,0.0452
P35505,0.0778
P35564,0.18595
P35585,0.10575
P35700,0.138
P35762,0.156071429
P35979,0.09255
P35980,0.1137
P36552,0.15035
P36916,0.145214286
P36993,0.220444444
P37040,0.1389
P37804,0.10585
P37889,0.168
P38060,0.08705
P38647,0.09855
P39054,0.211111111
P39061,0.2595
P39447,0.2389
P40124,0.20845
P40142,0.0746
P40336,0.216944444
P40630,0.089
P40753,0.3255
P40936,0.364416667
P41216,0.05135
P41317,0.674333333
P42125,0.03815
P42208,0.50625
P42225,0.462611111
P42227,0.60775
P42232,0.2889375
P42567,0.470277778
P42669,0.054833333
P42703,0.623444444
P42859,0.1529
P42932,0.21665
P43023,0.0651
P43024,0.0404
P45376,0.06315
P45377,0.063
P45591,0.10835
P45952,0.0594
P46412,0.5349
P46414,1.8315
P46460,0.13985
P46467,0.385
P46471,0.2035
P46638,0.1974
P46656,0.1802
P46664,0.30825
P46737,0.2616
P46935,1.80745
P46938,0.972
P46978,0.166666667
P47199,0.077625
P47738,0.1347
P47740,0.09915
P47753,0.0978
P47754,0.0952
P47757,0.09965
P47758,0.848666667
P47791,0.07675
P47802,0.034
P47809,0.169555556
P47811,0.235875
P47856,0.339666667
P47857,0.1499
P47911,0.1019
P47915,0.098
P47934,0.0399
P47941,0.2193
