path	parent	name	id	synapseStore	contentType	used	executed	activityName	activityDescription
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_c57_ctrl/hl.out	syn4591890	hl.out	syn4591893	True			syn4605103.1;syn4610001.1;syn4615933.1;syn4609280.1;syn4604109.1;syn4603314.1;syn4601948.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_c57_ctrl/hl-data.out	syn4591890	hl-data.out	syn4591892	True			syn4605103.1;syn4610001.1;syn4615933.1;syn4609280.1;syn4604109.1;syn4603314.1;syn4601948.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_balbc_iso/hl-data.out	syn4591744	hl-data.out	syn4591752	True			syn4601446.1;syn4601676.1;syn4601402.1;syn4601750.1;syn4601904.1;syn4601208.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_balbc_iso/hl.out	syn4591744	hl.out	syn4591754	True			syn4601446.1;syn4601676.1;syn4601402.1;syn4601750.1;syn4601904.1;syn4601208.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_balbc_iso/intensity.txt	syn4591744	intensity.txt	syn4723930	True	text/plain		syn4601446.1;syn4601676.1;syn4601402.1;syn4601750.1;syn4601904.1;syn4601208.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_balbc_ctrl/intensity.txt	syn4591742	intensity.txt	syn4723884	True	text/plain		syn4600976.1;syn4597808.1;syn4598477.1;syn4597619.1;syn4596495.1;syn4597563.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_balbc_ctrl/hl-data.out	syn4591742	hl-data.out	syn4591749	True			syn4600976.1;syn4597808.1;syn4598477.1;syn4597619.1;syn4596495.1;syn4597563.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_balbc_ctrl/hl.out	syn4591742	hl.out	syn4591751	True			syn4600976.1;syn4597808.1;syn4598477.1;syn4597619.1;syn4596495.1;syn4597563.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_aj_iso/intensity.txt	syn4545975	intensity.txt	syn4723830	True	text/plain		syn4596467.1;syn4596304.1;syn4596418.1;syn4596207.1;syn4596372.1;syn4596342.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_aj_iso/hl-data.out	syn4545975	hl-data.out	syn4591706	True			syn4596467.1;syn4596304.1;syn4596418.1;syn4596207.1;syn4596372.1;syn4596342.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_aj_iso/hl.out	syn4545975	hl.out	syn4591707	True			syn4596467.1;syn4596304.1;syn4596418.1;syn4596207.1;syn4596372.1;syn4596342.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_aj_ctrl/intensity.txt	syn4509336	intensity.txt	syn4723770	True	text/plain		syn4592380.1;syn4594902.1;syn4596171.1;syn4592570.1;syn4594970.1;syn4592887.1;syn4596165.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_aj_ctrl/hl-data.out	syn4509336	hl-data.out	syn4509331	True			syn4592380.1;syn4594902.1;syn4596171.1;syn4592570.1;syn4594970.1;syn4592887.1;syn4596165.1	ProTurn	
/Users/simhasankar/Documents/imputation_masking_validation/proturn_output_aj_ctrl/hl.out	syn4509336	hl.out	syn4509334	True			syn4592380.1;syn4594902.1;syn4596171.1;syn4592570.1;syn4594970.1;syn4592887.1;syn4596165.1	ProTurn	
